TraitOriginalName,TraitAnnotation,TraitAnnotationID,Property,ProAnnotation,ProAnnotationID,ActualProValue,pmcId,tableId
CD,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
CD,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_0
CD,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
CD,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_1
CD,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
CD,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
CD,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 1
09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 1
09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,PMC3464107,PMC3464107_Table 1
09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,CT182-At1g21690,PMC3464107,PMC3464107_Table 1
09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 4_0
09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 4_0
09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,PMC3464107,PMC3464107_Table 4_0
09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,CT182-At1g21690,PMC3464107,PMC3464107_Table 4_0
09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 4_1
09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 4_1
09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,PMC3464107,PMC3464107_Table 4_1
09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,CT182-At1g21690,PMC3464107,PMC3464107_Table 4_1
DAP1st,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 2
DAP1st,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
DAP1st,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_0
DAP1st,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
DAP1st,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_1
DAP1st,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
DAP1st,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
DAP1st,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
DAP50,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 2
DAP50,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 2
DAP50,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
DAP50,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_0
DAP50,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_1
DAP50,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_1
DAP50,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
DAP50,days to fruit ripening,http://purl.obolibrary.org/obo/SP_0000366,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
FH,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 2
FH,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 2
FH,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
FH,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_0
FH,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_1
FH,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_1
FH,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
FH,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
FP,fruit perimeter,http://purl.obolibrary.org/obo/SP_0000087,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 2
FP,fruit perimeter,http://purl.obolibrary.org/obo/SP_0000087,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
FP,fruit perimeter,http://purl.obolibrary.org/obo/SP_0000087,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_0
FP,fruit perimeter,http://purl.obolibrary.org/obo/SP_0000087,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
FP,fruit perimeter,http://purl.obolibrary.org/obo/SP_0000087,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_1
FP,fruit perimeter,http://purl.obolibrary.org/obo/SP_0000087,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
FP,fruit perimeter,http://purl.obolibrary.org/obo/SP_0000087,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
FP,fruit perimeter,http://purl.obolibrary.org/obo/SP_0000087,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Fruit size/shape,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 1
Fruit size/shape,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 2
Days to 1st ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 2
Days to 1st ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
Days to 50% ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 2
Days to 50% ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 2
Days to 1st ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_0
Days to 1st ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
Days to 50% ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
Days to 50% ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_0
Fruit size/shape,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_1
Days to 1st ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 4_1
Days to 1st ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
Days to 50% ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_1
Days to 50% ripe fruit,fruit,http://purl.obolibrary.org/obo/PO_0009001,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-T0408,PMC4321030,PMC4321030_TABLE 4_1
Fruit size/shape,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 1
Fruit size/shape,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Time to first ripe fruit (d),fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Time to 50% ripe fruit (d),fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Fruit size/shape,fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Time to first ripe fruit (d),fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Time to 50% ripe fruit (d),fruit,http://purl.obolibrary.org/obo/PO_0009001,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Fruit height,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 2
Fruit height,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 2
Fruit height,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
Fruit height,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_0
Fruit height,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_1
Fruit height,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_1
Fruit height,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Fruit height,fruit length,http://purl.obolibrary.org/obo/TO_0002626,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 1
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 1
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 2
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 2
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_0
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_0
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_1
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_1
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 1
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Fruit quality,fruit quality,http://purl.obolibrary.org/obo/TO_0002728,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 2
Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,PMC4321030,PMC4321030_TABLE 2
Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 4_0
Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,PMC4321030,PMC4321030_TABLE 4_0
Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 4_1
Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,PMC4321030,PMC4321030_TABLE 4_1
Fruit shape (H:W),fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 2
Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 2
Fruit size /shape,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194,PMC4321030,PMC4321030_TABLE 4_0
Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_0
Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_0
Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_1
Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-TG523,PMC4321030,PMC4321030_TABLE 4_1
Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Fruit size,fruit size,http://purl.obolibrary.org/obo/TO_0002625,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 2
Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,PMC4321030,PMC4321030_TABLE 2
