tpid	TraitOriginalName	TraitAnnotation	TraitAnnotationID	Property	ProAnnotation	ProAnnotationID	ActualProValue	pmcId									
30	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	At4g10050	PMC4321030									
31	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
32	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	4.14/1.69	PMC4321030									
33	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-3	PMC4321030									
34	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-At5g04590	PMC4321030									
35	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	6.9‒9.0	PMC4321030									
37	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
38	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-3	PMC4321030									
39	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-At5g04590	PMC4321030									
40	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	6.9‒9.0	PMC4321030									
42	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
43	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Abbreviation	abbreviation	http://purl.bioontology.org/ontology/SNOMEDCT/398223008	FH	PMC4321030									
44	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Description	description	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25365	Fruit height (mm)	PMC4321030									
45	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	15.44‡	PMC4321030									
46	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	F Values Location	location	http://biohackathon.org/resource/faldo#Position	0.04 ns	PMC4321030									
47	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
48	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
49	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030									
50	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	0.0‒1.4	PMC4321030									
52	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
53	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Abbreviation	abbreviation	http://purl.bioontology.org/ontology/SNOMEDCT/398223008	Brix	PMC4321030									
54	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Description	description	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25365	°Brix (soluble solids content)	PMC4321030									
55	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	8.39‡	PMC4321030									
56	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	F Values Location	location	http://biohackathon.org/resource/faldo#Position	13.87*	PMC4321030									
57	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Location	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
58	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
59	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030									
60	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
61	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	3.17/1.76	PMC4321030									
62	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
63	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030									
64	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	0.0‒1.4	PMC4321030									
66	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
98	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Abbreviation	abbreviation	http://purl.bioontology.org/ontology/SNOMEDCT/398223008	YLD	PMC4321030									
99	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Description	description	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25365	Fruit yield (kg)	PMC4321030									
100	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	1.91‡	PMC4321030									
101	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	F Values Location	location	http://biohackathon.org/resource/faldo#Position	—	PMC4321030									
102	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
103	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	1.91‡	PMC4321030									
104	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	F Values Location	location	http://biohackathon.org/resource/faldo#Position	—	PMC4321030									
105	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
106	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-3	PMC4321030									
107	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	At4g10050	PMC4321030									
108	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
109	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	4.14/1.69	PMC4321030									
110	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-3	PMC4321030									
111	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	At4g10050	PMC4321030									
112	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
113	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	4.14/1.69	PMC4321030									
114	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-3	PMC4321030									
115	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-At5g04590	PMC4321030									
116	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	6.9‒9.0	PMC4321030									
118	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
119	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-3	PMC4321030									
120	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-At5g04590	PMC4321030									
121	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	6.9‒9.0	PMC4321030									
123	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
124	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Abbreviation	abbreviation	http://purl.bioontology.org/ontology/SNOMEDCT/398223008	FH	PMC4321030									
125	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Description	description	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25365	Fruit height (mm)	PMC4321030									
126	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	15.44‡	PMC4321030									
127	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	F Values Location	location	http://biohackathon.org/resource/faldo#Position	0.04 ns	PMC4321030									
128	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
129	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
130	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030									
131	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	0.0‒1.4	PMC4321030									
133	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
134	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Abbreviation	abbreviation	http://purl.bioontology.org/ontology/SNOMEDCT/398223008	Brix	PMC4321030									
135	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Description	description	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25365	°Brix (soluble solids content)	PMC4321030									
136	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	8.39‡	PMC4321030									
137	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	F Values Location	location	http://biohackathon.org/resource/faldo#Position	13.87*	PMC4321030									
138	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Location	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
139	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
140	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030									
141	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
142	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	3.17/1.76	PMC4321030									
143	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
144	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030									
145	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	0.0‒1.4	PMC4321030									
147	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
162	LEAF	compound leaf	http://purl.obolibrary.org/obo/PO_0020043	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	2.28‡	PMC4321030									
163	LEAF	compound leaf	http://purl.obolibrary.org/obo/PO_0020043	F Values Location	location	http://biohackathon.org/resource/faldo#Position	16.71*	PMC4321030									
164	LEAF	compound leaf	http://purl.obolibrary.org/obo/PO_0020043	Location	location	http://biohackathon.org/resource/faldo#Position	1 & 2	PMC4321030									
165	STEM	stem	http://purl.obolibrary.org/obo/PO_0009047	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	9.37‡	PMC4321030									
166	STEM	stem	http://purl.obolibrary.org/obo/PO_0009047	F Values Location	location	http://biohackathon.org/resource/faldo#Position	1.30 ns	PMC4321030									
167	STEM	stem	http://purl.obolibrary.org/obo/PO_0009047	Location	location	http://biohackathon.org/resource/faldo#Position	1 & 2	PMC4321030									
216	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	5.56‡	PMC4321030									
217	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	F Values Location	location	http://biohackathon.org/resource/faldo#Position	—	PMC4321030									
218	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Location	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
219	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
220	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030									
221	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
222	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	2.10/1.75	PMC4321030									
223	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
224	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030									
225	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	0.0‒0.7	PMC4321030									
227	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
288	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	1.38*	PMC4321030									
289	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	F Values Location	location	http://biohackathon.org/resource/faldo#Position	12.17*	PMC4321030									
290	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Location	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
291	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	1.38*	PMC4321030									
292	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	F Values Location	location	http://biohackathon.org/resource/faldo#Position	12.17*	PMC4321030									
293	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Location	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
294	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-2	PMC4321030									
295	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	At5g16710	PMC4321030									
296	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
297	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	2.07/1.74	PMC4321030									
298	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-2	PMC4321030									
299	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	At5g16710	PMC4321030									
300	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
301	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	2.07/1.74	PMC4321030									
302	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-2	PMC4321030									
303	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	At2g22570-U340899	PMC4321030									
304	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	2.5‒3.4	PMC4321030									
306	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
307	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-2	PMC4321030									
308	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	At2g22570-U340899	PMC4321030									
309	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	2.5‒3.4	PMC4321030									
311	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3 & 4	PMC4321030									
384	Leaf AUDPC	compound leaf	http://purl.obolibrary.org/obo/PO_0020043	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	2.28‡	PMC4321030									
385	Leaf AUDPC	compound leaf	http://purl.obolibrary.org/obo/PO_0020043	F Values Location	location	http://biohackathon.org/resource/faldo#Position	16.71*	PMC4321030									
386	Leaf AUDPC	compound leaf	http://purl.obolibrary.org/obo/PO_0020043	Location	location	http://biohackathon.org/resource/faldo#Position	1 & 2	PMC4321030									
387	Stem AUDPC	stem	http://purl.obolibrary.org/obo/PO_0009047	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	9.37‡	PMC4321030									
388	Stem AUDPC	stem	http://purl.obolibrary.org/obo/PO_0009047	F Values Location	location	http://biohackathon.org/resource/faldo#Position	1.30 ns	PMC4321030									
389	Stem AUDPC	stem	http://purl.obolibrary.org/obo/PO_0009047	Location	location	http://biohackathon.org/resource/faldo#Position	1 & 2	PMC4321030									
390	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	1.88†	PMC4321030									
391	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	F Values Location	location	http://biohackathon.org/resource/faldo#Position	—	PMC4321030									
392	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
393	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
394	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030									
395	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location(s)	location	http://biohackathon.org/resource/faldo#Position	4	PMC4321030									
396	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	1.81/1.66	PMC4321030									
397	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
398	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030									
399	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	0.0‒1.5	PMC4321030									
401	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location(s)	location	http://biohackathon.org/resource/faldo#Position	4	PMC4321030									
402	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	7.57‡	PMC4321030									
403	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	F Values Location	location	http://biohackathon.org/resource/faldo#Position	—	PMC4321030									
404	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
405	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
406	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030									
407	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location(s)	location	http://biohackathon.org/resource/faldo#Position	4	PMC4321030									
408	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	4.28/1.68	PMC4321030									
409	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-1	PMC4321030									
410	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030									
411	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	1-LOD Support Interval	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	0.0‒0.7	PMC4321030									
413	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Location(s)	location	http://biohackathon.org/resource/faldo#Position	4	PMC4321030									
414	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Abbreviation	abbreviation	http://purl.bioontology.org/ontology/SNOMEDCT/398223008	YLD	PMC4321030									
415	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Description	description	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25365	Fruit yield (kg)	PMC4321030									
