Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,achieves_planned_objective,alternative term,assumes values specified by,concretizes,Contributor,Creator,curator note,Date,declares,definition,definition source,denotes,derives from,Description,editor note,editor preferred term,estimator of,example of usage,executes,Format,has coordinate unit label,has curation status,has denominator,has function,has grain,has measurement datum,has measurement unit label,has member,has numerator,has part,has participant,has quality,has role,has specified value,has time stamp,has value,has value specification,has x coordinate value,has y coordinate value,has_specified_input,has_specified_output,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://usefulinc.com/ns/doap#bug-database,http://usefulinc.com/ns/doap#homepage,http://usefulinc.com/ns/doap#mailing-list,http://www.w3.org/2002/07/owl#versionInfo,IEDB alternative term,imported from,inheres in,is about,is bearer of,is concretized as,is declared by,is denoted by,is duration of,is function of,is located in,is member of,is member of organization,is part of,is preceded by,is realized by,is role of,is_proxy_for,is_specified_input_of,is_specified_output_of,is_supported_by_data,ISA alternative term,participates in,precedes,preferred mathematical notation,Python command,R command,realizes,s depends on,specifies value of,STATO alternative term,Subject and Keywords,term editor,Title
http://purl.obolibrary.org/obo/STATO_0000177,beta distribution,,"the beta distribution is a continuous probability distributions defined on the interval [0, 1] parametrized by two positive shape parameters, denoted by α and β, that appear as exponents of the random variable and control the shape of the distribution",false,,,http://purl.obolibrary.org/obo/STATO_0000067,,,,,,,,,,"the beta distribution is a continuous probability distributions defined on the interval [0, 1] parametrized by two positive shape parameters, denoted by α and β, that appear as exponents of the random variable and control the shape of the distribution","adapted from Wikipedia:

http://en.wikipedia.org/wiki/Beta_distribution",,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.beta.html#scipy.stats.beta,"http://stat.ethz.ch/R-manual/R-patched/library/stats/html/Beta.html

dbeta(x, shape1, shape2, ncp = 0, log = FALSE)
pbeta(q, shape1, shape2, ncp = 0, lower.tail = TRUE, log.p = FALSE)
qbeta(p, shape1, shape2, ncp = 0, lower.tail = TRUE, log.p = FALSE)
rbeta(n, shape1, shape2, ncp = 0)",,,,,,Orlaith Burke|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/OBI_0200094,logarithmic transformation,,A logarithmic transformation is a data transformation consisting in the application of the logarithm function with a given base a (where a>0 and a is not equal to 1) to a (one dimensional) positive real number input. The logarithm function with base a can be defined as the inverse of the exponential function with the same base. See e.g. http://en.wikipedia.org/wiki/Logarithm.,false,,,http://purl.obolibrary.org/obo/OBI_0200169,http://purl.obolibrary.org/obo/OBI_0200167,,,,,,,,,A logarithmic transformation is a data transformation consisting in the application of the logarithm function with a given base a (where a>0 and a is not equal to 1) to a (one dimensional) positive real number input. The logarithm function with base a can be defined as the inverse of the exponential function with the same base. See e.g. http://en.wikipedia.org/wiki/Logarithm.,WEB: http://en.wikipedia.org/wiki/Logarithm,,,,,logarithmic transformation,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elisabetta Manduchi,
http://purl.obolibrary.org/obo/STATO_0000347,Matern function anisotropic covariance structure,,,false,,,http://purl.obolibrary.org/obo/STATO_0000346,,,,,,,,,,,http://support.sas.com/documentation/cdl/en/statug/63033/HTML/default/viewer.htm#statug_mixed_sect019.htm,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Nichols|Orlaith Burke|Alejandra Gonzalez-Beltran|Camille Maumet|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000346,covariance structure,,a covariance structure is a data item which is part of a regression model and which indicates a pattern in the covariance matrix. The nature of covariance structure is specified before the regression analysis and various covariance structure may be tested and evaluated using information criteria to help choose the most suiteable model,false,,,http://purl.obolibrary.org/obo/IAO_0000027,,,,,,,,,,a covariance structure is a data item which is part of a regression model and which indicates a pattern in the covariance matrix. The nature of covariance structure is specified before the regression analysis and various covariance structure may be tested and evaluated using information criteria to help choose the most suiteable model,http://www3.nd.edu/~kyuan/courses/sem/readpapers/benter.pdf,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/STATO_0000390,,http://purl.obolibrary.org/obo/STATO_0000390,,,,,,,,,,,,http://purl.obolibrary.org/obo/STATO_0000301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alejandra Gonzalez-Beltran|Orlaith Burke|Tom Nichols|Camille Maumet|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/OBI_0600014,material component separation,,a material processing in which components of an input material become segregated in space,false,,,http://purl.obolibrary.org/obo/OBI_0000094,,,,,,,,,,a material processing in which components of an input material become segregated in space,IEDB,,,,,material component separation,,"Using a cell sorter to separate a mixture of T cells into two fractions; one with surface receptor CD8 and the other lacking the receptor, or purification",,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000040,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bjoern Peters,
http://purl.obolibrary.org/obo/STATO_0000111,sequence read,,a sequence read is a DNA sequence data which is generated by a DNA sequencer,false,,,http://purl.obolibrary.org/obo/OBI_0001573,,,,,,,,,,a sequence read is a DNA sequence data which is generated by a DNA sequencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0000626,,,,,,,,,,,,,Orlaith Burke|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000389,power law distribution,,"a power-law probability distribution is a probability distribution whose density function (or mass function in the discrete case) has the form

p(x) = L(x) . x^{-alpha}

where alpha is a parameter >1 and L(x) is a slowly varying function.

",false,,,http://purl.obolibrary.org/obo/STATO_0000225,,,,,,,,,,"a power-law probability distribution is a probability distribution whose density function (or mass function in the discrete case) has the form

p(x) = L(x) . x^{-alpha}

where alpha is a parameter >1 and L(x) is a slowly varying function.

","adapted from wikipedia and wolfram alpha:
https://en.wikipedia.org/wiki/Power_law#Power-law_probability_distributions

last accessed: 2015-11-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.powerlaw.html#scipy.stats.powerlaw,,,,,,,,
http://purl.obolibrary.org/obo/STATO_0000010,coordinate system,,"In geometry, a coordinate system is a system which uses one or more numbers, or coordinates, to uniquely determine the position of a point or other geometric element on a manifold such as Euclidean space.",false,,,http://purl.obolibrary.org/obo/IAO_0000030,,,,,,,,,,"In geometry, a coordinate system is a system which uses one or more numbers, or coordinates, to uniquely determine the position of a point or other geometric element on a manifold such as Euclidean space.",http://en.wikipedia.org/wiki/Coordinate_system,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/BFO_0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alejandra Gonzalez-Beltran|Orlaith Burke|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/OBI_0600024,maintaining cell culture,,a protocol application in which cells are kept alive in a defined environment outside of an organism.  part of cell_culturing,false,,,http://purl.obolibrary.org/obo/OBI_0000838,http://purl.obolibrary.org/obo/OBI_0000806,,,,,,,,,a protocol application in which cells are kept alive in a defined environment outside of an organism.  part of cell_culturing,OBI branch derived,,,,,maintaining cell culture,,"When harvesting blood from a human, isolating T cells, and then limited dilution cloning of the cells, the maintaining_cell_culture step comprises all steps after the initial dilution and plating of the cells into culture, e.g. placing the culture into an incubator, changing or adding media, and splitting a cell culture",,,,http://purl.obolibrary.org/obo/IAO_0000125,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0100060,http://purl.obolibrary.org/obo/OBI_0100060,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlanAndPlannedProcess Branch,
http://purl.obolibrary.org/obo/STATO_0000257,family,,"A domestic group, or a number of domestic groups linked through descent (demonstrated or stipulated) from a common ancestor, marriage, or adoption.",false,,,http://purl.obolibrary.org/obo/OBI_0000181,,,,,,,,,,"A domestic group, or a number of domestic groups linked through descent (demonstrated or stipulated) from a common ancestor, marriage, or adoption.",http://purl.obolibrary.org/obo/PCO_0000020,,,,"import from Population and Community Ontology:

http://www.ontobee.org/browser/rdf.php?o=PCO&iri=http://purl.obolibrary.org/obo/PCO_0000020

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlaith Burke|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000022,one dimensional cartesian coordinate system,, a three dimensional cartesian coordinate system is a cartesian coordinate system which defines 3 orthogonal one dimensional axis and which may be used to describe a 3 dimensional spatial region,false,,,http://purl.obolibrary.org/obo/STATO_0000009,,,,,,,,,, a three dimensional cartesian coordinate system is a cartesian coordinate system which defines 3 orthogonal one dimensional axis and which may be used to describe a 3 dimensional spatial region,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,http://purl.obolibrary.org/obo/STATO_0000006|http://purl.obolibrary.org/obo/STATO_0000025,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/BFO_0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alejandra Gonzalez-Beltran|Orlaith Burke|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000065,hypothesis,,"In statistics, a statement that can be tested.[wolfram alpha]",false,,,http://purl.obolibrary.org/obo/IAO_0000030,,,,,,,,,,"In statistics, a statement that can be tested.[wolfram alpha]",http://mathworld.wolfram.com/Hypothesis.html|STATO,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlaith Burke|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/OBI_0000010,fluorescent reporter intensity,,A measurement datum that represents the output of a scanner measuring the intensity value for each fluorescent reporter.,false,,,http://purl.obolibrary.org/obo/IAO_0000109,,,,,,,"From the DT branch: This term and definition were originally submitted by the community to our branch, but we thought they best fit DENRIE. However we see several issues with this. First of all the name 'probe' might not be used in OBI. Instead we have a 'reporter' role. Also, albeit the term 'probe intensity' is often used in communities such as the microarray one, the name 'probe' is ambiguous (some use it to refer to what's on the array, some use it to refer to what's hybed to the array). Furthermore, this concept could possibly be encompassed by combining different OBI terms, such as the roles of analyte, detector and reporter (you need something hybed to a probe on the array to get an intensity) and maybe a more general term for 'measuring intensities'. We need to find the right balance between what is consistent with OBI and combinations of its terms and what is user-friendly. Finally, note that 'intensity' is already in the OBI .owl file and is also in PATO. Why didn't OBI import it from PATO? This might be a problem.",,,A measurement datum that represents the output of a scanner measuring the intensity value for each fluorescent reporter.,group:OBI,,,,,fluorescent reporter intensity,,,,,,http://purl.obolibrary.org/obo/IAO_0000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person:Chris Stoeckert,
http://purl.obolibrary.org/obo/STATO_0000268,Gamma distribution,,A gamma distribution is a general type of continous statistical distribution (related to the beta distribution) that arises naturally in processes for which the waiting times between Poisson distributed events are relevant. Gamma distributions have two free parameters shape k and scale denoted theta .,false,,,http://purl.obolibrary.org/obo/STATO_0000067,,,,,,,,,,A gamma distribution is a general type of continous statistical distribution (related to the beta distribution) that arises naturally in processes for which the waiting times between Poisson distributed events are relevant. Gamma distributions have two free parameters shape k and scale denoted theta .,http://mathworld.wolfram.com/GammaDistribution.html,,,,Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.gamma.html#scipy.stats.gamma,"dgamma(x, shape, rate = 1, scale = 1/rate, log = FALSE)

http://stat.ethz.ch/R-manual/R-patched/library/stats/html/GammaDist.html",,,,,,Orlaith Burke|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/OBI_0000739,Student's t-test,,Studen't t-test is a data transformation with the objective of a statistical hypothesis test in which the test statistic has a Student's t distribution if the null hypothesis is true. It is applied when the population is assumed to be normally distributed but the sample sizes are small enough that the statistic on which inference is based is not normally distributed because it relies on an uncertain estimate of standard deviation rather than on a precisely known value.,false,,,http://purl.obolibrary.org/obo/OBI_0000673,http://purl.obolibrary.org/obo/OBI_0000675,t-test,,,,,,,,Studen't t-test is a data transformation with the objective of a statistical hypothesis test in which the test statistic has a Student's t distribution if the null hypothesis is true. It is applied when the population is assumed to be normally distributed but the sample sizes are small enough that the statistic on which inference is based is not normally distributed because it relies on an uncertain estimate of standard deviation rather than on a precisely known value.,WEB: http://en.wikipedia.org/wiki/T-test,,,,,Student's t-test,,,,,,http://purl.obolibrary.org/obo/IAO_0000122|http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/STATO_0000176|http://purl.obolibrary.org/obo/STATO_0000059|http://purl.obolibrary.org/obo/STATO_0000053,http://purl.obolibrary.org/obo/OBI_0000175,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,"t.test(dependent variable ~ independant variable, data = dataset, var.equal = FALSE)

http://stat.ethz.ch/R-manual/R-patched/library/stats/html/t.test.html",,,,,,James Malone|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000203,cohort,,a cohort is a study group population where the members are human beings which meet inclusion criteria and undergo a longitudinal design,false,,,http://purl.obolibrary.org/obo/STATO_0000193,,,,,,,,,,a cohort is a study group population where the members are human beings which meet inclusion criteria and undergo a longitudinal design,STATO,,,,possibly submit to 'Population and Community Ontology',,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlaith Burke|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000076,Mann-Whitney U-test,Wilcoxon Rank-Sum test,"The Mann-Whitney U-test is a null hypothesis statistical testing procedure which allows two groups (or conditions or treatments) to be compared without making the assumption that values are normally distributed. 
The Mann-Whitney test is the non-parametric equivalent of the t-test for independent samples",false,,,http://purl.obolibrary.org/obo/OBI_0200000|http://purl.obolibrary.org/obo/STATO_0000198,http://purl.obolibrary.org/obo/STATO_0000255|http://purl.obolibrary.org/obo/OBI_0000675,U test|Wilcoxon rank-sum test|rank-sum test for the comparison of two samples,,,,,,,,"The Mann-Whitney U-test is a null hypothesis statistical testing procedure which allows two groups (or conditions or treatments) to be compared without making the assumption that values are normally distributed. 
The Mann-Whitney test is the non-parametric equivalent of the t-test for independent samples","adapted from http://udel.edu/~mcdonald/statkruskalwallis.html
and from http://en.wikipedia.org/wiki/Mann%E2%80%93Whitney_U
last accessed [2014-03-04]",,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/STATO_0000053,http://purl.obolibrary.org/obo/OBI_0000175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"scipy.stats.ranksums(x, y)

http://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ranksums.html#scipy.stats.ranksums

source:
https://github.com/scipy/scipy/blob/v0.15.1/scipy/stats/stats.py#L4103|scipy.stats.mannwhitneyu(x, y, use_continuity=True)

http://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.mannwhitneyu.html#scipy.stats.mannwhitneyu

source:
https://github.com/scipy/scipy/blob/v0.15.1/scipy/stats/stats.py#L4049","wilcox.test(dependent variable ~ independant variable, data = dataset)

http://stat.ethz.ch/R-manual/R-patched/library/stats/html/wilcox.test.html",,,,Wilcoxon Rank-Sum test,,Orlaith Burke|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
