PO:0000001	embryo proper
PO:0000081	axial cell
PO:0000290	tracheary element
PO:0025406	sieve element
PO:0025407	plant fiber cell
PO:0000082	ray initial cell
PO:0000084	plant sperm cell
PO:0000112	shoot axis epidermis
PO:0000115	socket cell
PO:0000146	abscission zone
PO:0000191	synergid
PO:0000198	free nuclear endosperm
PO:0000199	cellular endosperm
PO:0000200	micropylar endosperm
PO:0000201	chalazal cyst
PO:0000207	nectary epidermis
PO:0000223	shoot axis cortex
PO:0000224	central zone
PO:0000225	peripheral zone
PO:0000226	rib zone
PO:0000229	flower meristem
PO:0000230	inflorescence meristem
PO:0000232	axillary bud meristem
PO:0000244	functional megaspore
PO:0000245	degenerate megaspore
PO:0000252	endodermis
PO:0000258	root cortex
PO:0000262	trichoblast
PO:0000263	non-hair root epidermal cell
PO:0000272	protoxylem
PO:0000273	xylem element
PO:0000274	xylem fiber cell
PO:0000282	trichome
PO:0000283	idioblast
PO:0000284	subsidiary cell
PO:0000289	sieve tube element
PO:0000293	guard cell
PO:0000295	cambial initial cell
PO:0000301	tracheid
PO:0000309	nectary parenchyma
PO:0000332	epidermal pavement cell
PO:0000349	epidermal initial cell
PO:0000351	guard mother cell
PO:0000352	myrosin cell
PO:0000353	passage cell
PO:0000355	fiber tracheid
PO:0000372	metaxylem
PO:0000373	mucilage cell
PO:0000400	phloem mother cell
PO:0000423	plant zygote
PO:0000431	megasporocyte
PO:0001000	meristem elaboration
PO:0001002	fruit development stage
PO:0001003	formation of the leaf founder cells stage
PO:0001004	anther development stage
PO:0001005	A archesporial cells visible stage
PO:0001006	B enlarged microsporocyte stage
PO:0001007	pollen development stage
PO:0001008	C callose wall formation in pollen mother cells stage
PO:0001009	D pollen mother cell meiosis stage
PO:0001010	F microspore release stage
PO:0001011	A microsporogenous mass stage
PO:0001012	G early unicellular microspore stage
PO:0001013	H late unicellular microspore stage
PO:0001014	I first mitotic division stage
PO:0001015	K second mitotic division stage
PO:0001016	L mature pollen stage
PO:0001017	M germinated pollen stage
PO:0001018	B formation of primary parietal and sporogenous cells stage
PO:0001019	formation of leaf primordium stage
PO:0001020	hood-shaped primordium stage
PO:0001021	formation of ligule primordium stage
PO:0001023	rapid elongation of leaf blade stage
PO:0001024	rapid elongation of leaf sheath stage
PO:0001025	C four anther lobes formed stage
PO:0001026	D locules established stage
PO:0001027	meristamtic zone formation
PO:0001028	elongation zone formation
PO:0001029	E tetrad stage
PO:0001030	specialization zone formation
PO:0001031	4 root elongation stage
PO:0001032	E anther wall tapetum degeneration initiated stage
PO:0001034	F bilocular anther stage
PO:0001035	G anther dehiscence stage
PO:0001036	H anther senescence stage
PO:0001040	dry seed stage
PO:0001041	chalazal and micropylar domain establishment stage
PO:0001042	functional specialization of the endosperm stage
PO:0001044	sepal differentiation and expansion stage
PO:0001045	fully expanded sepal stage
PO:0001047	lemma development stage
PO:0001048	palea development stage
PO:0001049	lodicule development stage
PO:0001050	leaf development stage
PO:0001051	1 leaf initiation stage
PO:0001052	2 leaf expansion stage
PO:0001053	3 leaf fully expanded stage
PO:0001054	4 leaf senescence stage
PO:0001055	lemma primordia visible stage
PO:0001056	lemma differentiation and expansion stage
PO:0001057	fully expanded lemma stage
PO:0001058	palea primordia visible stage
PO:0001059	J bicellular pollen stage
PO:0001070	palea differentiation and expansion stage
PO:0001071	fully expanded palea stage
PO:0001072	lodicule primordia visible stage
PO:0001074	N second mitotic division stage in germinating pollen
PO:0001077	lodicule differentiation and expansion stage
PO:0001078	E expanded cotyledon stage
PO:0001079	fully expanded lodicule stage
PO:0001081	F mature embryo stage
PO:0001083	inflorescence development stage
PO:0001094	coleoptilar stage
PO:0001095	true leaf formation stage
PO:0001096	primary endosperm cell stage
PO:0001097	plant zygote stage
PO:0001098	formation of starchy endosperm
PO:0001099	formation of aleurone and starchy layers stage
PO:0001170	seed development stage
PO:0001180	B proembryo stage
PO:0001185	C globular stage
PO:0001378	sepals enclosing meristem stage
PO:0001380	sepals enclosing flower bud stage
PO:0002000	stomatal complex
PO:0002001	papillae
PO:0025166	papilla cell
PO:0025167	leaf papilla cell
PO:0025168	stigma papilla cell
PO:0002002	embryo basal cell
PO:0002003	xylem vessel member
PO:0002004	silk scar
PO:0003000	transition zone
PO:0003003	obsolete primary root elongation zone
PO:0025257	primary root elongation zone
PO:0003004	haustorial root
PO:0003005	nodal root
PO:0003011	root vascular system
PO:0003014	obsolete lateral root elongation zone
PO:0025256	lateral root elongation zone
PO:0003015	primary root differentiation zone
PO:0003016	lateral root differentiation zone
PO:0003017	root cap of primary root
PO:0003018	root cap of lateral root
PO:0003019	central root cap of lateral root
PO:0003020	lateral root cap of lateral root
PO:0003021	central root cap of primary root
PO:0003022	lateral root cap of primary root
PO:0003023	root nodule
PO:0003024	stolon
PO:0004000	obsolete apical cell
PO:0025284	embryo apical cell
PO:0004001	bulliform cell
PO:0004002	contact cell
PO:0004003	phellem
PO:0004004	epithelium cell
PO:0004005	laticiferous cell
PO:0025031	laticifer cell
PO:0004006	mesophyll cell
PO:0004007	phelloid cell
PO:0004008	photosynthetic cell
PO:0004009	silica cell
PO:0004010	meristematic cell
PO:0004011	initial cell
PO:0004012	secretory cell
PO:0004013	epidermal cell
PO:0004500	formation of leaflet primordia stage
PO:0004501	gynoecium differentiation and expansion stage
PO:0004502	closure of carpel(s) stage
PO:0004503	stigma cell differentiation stage
PO:0004504	ovule differentiation and expansion stage
PO:0004505	fertilized ovule stage
PO:0004506	developing seed stage
PO:0004507	D bilateral stage
PO:0004509	glandular trichome
PO:0004511	seed trichome
PO:0004512	heartwood
PO:0004513	sapwood
PO:0004514	growth ring
PO:0004515	early wood
PO:0004516	late wood
PO:0004517	growth ring boundary
PO:0004518	bark
PO:0004519	phloem fiber cell
PO:0004520	libriform fiber cell
PO:0004521	septate fiber cell
PO:0004522	outer vascular cambium
PO:0004523	included vascular cambium
PO:0004524	included phloem
PO:0004525	secondary xylem parenchyma cell
PO:0004526	axial secondary xylem parenchyma cell
PO:0004527	ray secondary xylem parenchyma cell
PO:0004528	upright ray secondary xylem parenchyma cell
PO:0004529	procumbent ray secondary xylem parenchyma cell
PO:0004530	tile cell
PO:0004531	sheath cell
PO:0004532	secondary xylem parenchyma
PO:0004533	axial secondary xylem parenchyma
PO:0004534	ray secondary xylem parenchyma
PO:0004535	fruit placenta
PO:0004536	fruit pedicel
PO:0004537	nucellar plant embryo
PO:0004538	indeterminate nodule
PO:0004539	determinate nodule
PO:0004540	fruit columella
PO:0004542	rhizome
PO:0004543	shoot axis tuber
PO:0004544	root-borne shoot system
PO:0004545	shoot-borne shoot system
PO:0004546	epicormic shoot system
PO:0004547	subterranean tuber
PO:0004548	aerial tuber
PO:0004700	anther wall middle layer
PO:0004701	short shoot
PO:0004702	long shoot
PO:0004703	carpel primordium
PO:0004704	sepal primordium
PO:0004705	stamen primordium
PO:0004706	flower primordium
PO:0025477	floral organ primordium
PO:0004707	fruit dehiscence zone
PO:0004708	scutellar node
PO:0004709	axillary bud
PO:0004710	axillary flower bud
PO:0004711	axillary inflorescence bud
PO:0004712	axillary vegetative bud
PO:0004713	terminal bud
PO:0004714	terminal flower bud
PO:0004715	terminal inflorescence bud
PO:0004716	terminal vegetative bud
PO:0004717	long cell
PO:0004718	short cell
PO:0004719	hilum groove
PO:0004721	paraclade cortex
PO:0004722	pedicel cortex
PO:0004723	sepal vascular system
PO:0004724	hypocotyl-root junction
PO:0004725	abaxial side of leaf primordium
PO:0004726	adaxial side of leaf primordium
PO:0005001	basal axillary shoot system
PO:0005002	cauline axillary shoot
PO:0005003	shoot axis trichome
PO:0005004	shoot node
PO:0005005	shoot internode
PO:0005006	articulated laticifer
PO:0005007	non-articulated laticifer
PO:0006222	non-articulated laticifer cell
PO:0005008	obsolete fruit septum
PO:0025267	fruit replum
PO:0025268	fruit septum
PO:0005009	carpel septum
PO:0025262	ovary septum
PO:0025272	ovary replum
PO:0005010	anther septum
PO:0005011	anther dehiscence zone
PO:0005012	pedicel vascular system
PO:0005013	hypocotyl epidermis
PO:0005014	embryo cortex
PO:0005015	embryo endodermis
PO:0005016	replum
PO:0005017	flower vascular system
PO:0005018	stamen vascular system
PO:0005019	carpel vascular system
PO:0005020	vascular bundle
PO:0005021	sepal margin
PO:0005022	ovary wall
PO:0005023	abaxial epidermis of ovary
PO:0005024	adaxial epidermis of ovary
PO:0005025	middle layer of ovary wall
PO:0005026	root giant cell
PO:0005027	root syncytium cell
PO:0005028	inflorescence vascular system
PO:0005029	root primordium
PO:0005039	primary thickening meristem
PO:0005040	root pith
PO:0005041	shoot axis pith
PO:0005043	secondary phloem
PO:0005046	periderm
PO:0005047	root periderm
PO:0005048	shoot axis periderm
PO:0005050	phelloderm
PO:0005051	hypodermis
PO:0005052	plant callus
PO:0005053	laticifer
PO:0006221	articulated laticifer cell
PO:0005057	shoot axis hypodermis
PO:0005058	shoot axis endodermis
PO:0005059	root endodermis
PO:0005060	leaf endodermis
PO:0005349	schizo-lysigenous aerenchyma
PO:0005352	xylem
PO:0005360	aleurone layer
PO:0005415	endosperm parenchyma
PO:0005417	phloem
PO:0005421	parenchyma
PO:0005423	collenchyma
PO:0005426	chlorenchyma
PO:0005427	sclerenchyma
PO:0005597	cambium
PO:0005598	vascular cambium
PO:0005599	cork cambium
PO:0005621	angular collenchyma
PO:0005632	lacunar collenchyma
PO:0005633	lamellar collenchyma
PO:0005645	leaf mesophyll
PO:0005647	spongy mesophyll
PO:0005648	palisade mesophyll
PO:0005656	portion of secretory tissue
PO:0005660	hydathode
PO:0005661	salt gland
PO:0005665	resin canal
PO:0005669	oil gland
PO:0005679	epidermis
PO:0005702	aerenchyma
PO:0005704	rhexigenous aerenchyma
PO:0005706	lysigenous aerenchyma
PO:0005708	cortex
PO:0005752	promeristem
PO:0005772	exodermis
PO:0005848	secondary xylem
PO:0005849	primary xylem
PO:0006000	caryopsis hull
PO:0006001	phyllome
PO:0006002	lower glume
PO:0006003	scale leaf
PO:0006004	upper glume
PO:0006005	carpel anlagen
PO:0006006	anther wall primary parietal cell layer
PO:0006007	anther wall secondary parietal cell layer
PO:0006008	anther wall inner secondary parietal cell layer
PO:0006009	anther wall outer secondary parietal cell layer
PO:0006010	primary parietal cell
PO:0006011	lateral leaf vein
PO:0006012	leaf collar
PO:0006013	juice sac
PO:0006014	male archesporial cell
PO:0006015	female archesporial cell
PO:0006016	leaf epidermis
PO:0006017	helobial endosperm
PO:0006018	leaf adaxial epidermis
PO:0006019	leaf abaxial epidermis
PO:0006020	lateral root apical meristem
PO:0006021	adventitious root apical meristem
PO:0006022	bundle sheath extension
PO:0006023	bundle sheath
PO:0006024	parenchyma sheath
PO:0006025	mestome sheath
PO:0006032	lemma awn
PO:0006033	paleal apiculus
PO:0006034	leaflet margin
PO:0006035	shoot epidermis
PO:0006036	root epidermis
PO:0006039	adventitious root epidermis
PO:0006040	sepal epidermis
PO:0006041	petal epidermis
PO:0006042	velamen
PO:0006043	integument epidermis
PO:0006044	inner integument epidermis
PO:0006045	outer integument epidermis
PO:0006048	seed coat epidermis
PO:0006049	scutellum epidermis
PO:0006050	exotesta
PO:0006051	endotesta
PO:0006052	petal abaxial epidermis
PO:0006053	petal adaxial epidermis
PO:0006054	sepal abaxial epidermis
PO:0006055	sepal adaxial epidermis
PO:0006056	cotyledon epidermis
PO:0006057	cotyledon abaxial epidermis
PO:0006058	cotyledon adaxial epidermis
PO:0006060	filament epidermis
PO:0006061	stigma epidermis
PO:0006062	style epidermis
PO:0006063	ovary epidermis
PO:0006065	hypocotyl endodermis
PO:0006066	petiole parenchyma
PO:0006067	cambium-like transitional zone
PO:0006068	sepal parenchyma
PO:0006069	petal parenchyma
PO:0006070	mesophyll
PO:0006071	petal mesophyll
PO:0006072	sepal mesophyll
PO:0006073	intercalary meristem
PO:0006074	obsolete procambium
PO:0025275	procambium
PO:0006075	primary phloem
PO:0006076	metaphloem
PO:0006077	protophloem
PO:0006078	primary vascular tissue
PO:0006079	shoot meristem
PO:0006080	secondary vascular tissue
PO:0006081	primary root apical meristem
PO:0006082	abaxial protoderm
PO:0006083	adaxial protoderm
PO:0006084	portion of transfusion tissue
PO:0006085	root meristem
PO:0006086	accessory transfusion tissue
PO:0006087	proliferation tissue
PO:0006088	primary sporogenous cell
PO:0006089	anther primordium
PO:0006090	organogenic callus
PO:0006091	embryogenic callus
PO:0006109	pith
PO:0006200	fascicular cambium
PO:0006201	interfascicular cambium
PO:0006202	interfascicular region
PO:0006203	pericycle
PO:0006204	sporocyte
PO:0006205	spongy mesophyll cell
PO:0006206	palisade mesophyll cell
PO:0006207	exodermal passage cell
PO:0006208	endodermal passage cell
PO:0006209	lateral root epidermis
PO:0006210	protoderm
PO:0006211	separation layer
PO:0006212	protective layer
PO:0006213	root aerenchyma
PO:0006214	stem aerenchyma
PO:0006215	leaf aerenchyma
PO:0006216	internal phloem
PO:0006218	exotegmen
PO:0006219	endotegmen
PO:0006220	central endosperm
PO:0006300	obsolete plant structure
PO:0006301	corpus
PO:0006302	tunica
PO:0006303	L1
PO:0009020	meristem L1
PO:0006304	L2
PO:0009021	meristem L2
PO:0006305	L3
PO:0009022	meristem L3
PO:0006306	obsolete shoot procambium
PO:0025276	shoot procambium
PO:0006307	root procambium
PO:0006308	root lateral meristem
PO:0006309	tassel spikelet
PO:0006310	tassel floret
PO:0006311	tassel sessile spikelet
PO:0006312	tassel pedicellate spikelet
PO:0006313	lower floret of pedicellate spikelet of tassel
PO:0006314	upper floret of pedicellate spikelet of tassel
PO:0006315	lower floret of sessile spikelet of tassel
PO:0006316	upper floret of sessile spikelet of tassel
PO:0006319	spikelet pedicel
PO:0006320	ear spikelet
PO:0006321	primary inflorescence branch
PO:0006322	second order inflorescence branch
PO:0006323	tassel inflorescence branch
PO:0006324	central spike of tassel inflorescence
PO:0006325	inflorescence node
PO:0006326	inflorescence internode
PO:0006327	spikelet meristem
PO:0006328	spikelet pair meristem
PO:0006330	gynophore
PO:0006331	seed raphe
PO:0006332	seed funicle
PO:0006333	seed chalaza
PO:0006334	seed micropyle
PO:0006336	seed obturator
PO:0006338	embryo leaf
PO:0006339	juvenile vascular leaf
PO:0006340	adult vascular leaf
PO:0006341	primary shoot system
PO:0006342	infructescence
PO:0006343	axillary shoot system
PO:0006344	shoot lateral meristem
PO:0006345	pollen tube
PO:0006346	leaf intercalary meristem
PO:0006347	stem intercalary meristem
PO:0006348	ear pedicellate spikelet
PO:0006349	ear sessile spikelet
PO:0006350	upper floret of pedicellate spikelet of ear
PO:0006351	lower floret of sessile spikelet of ear
PO:0006352	upper floret of sessile spikelet of ear
PO:0006353	lower floret of pedicellate spikelet of ear
PO:0006354	ear floret
PO:0006358	tassel spikelet pair meristem
PO:0006360	ear spikelet pair meristem
PO:0006362	embryo shoot apical meristem
PO:0006367	glume of ear spikelet
PO:0006368	glume of tassel spikelet
PO:0006369	lower glume of ear spikelet
PO:0006370	upper glume of tassel spikelet
PO:0006371	upper glume of ear spikelet
PO:0006372	lower glume of tassel spikelet
PO:0006375	ear apical meristem
PO:0006376	tassel apical meristem
PO:0006377	tassel spikelet meristem
PO:0006378	ear spikelet meristem
PO:0006379	tassel spikelet rachilla
PO:0006380	ear spikelet rachilla
PO:0006385	lower glume of pedicellate spikelet of tassel
PO:0006386	lower glume of sessile spikelet of tassel
PO:0006387	upper glume of sessile spikelet of tassel
PO:0006388	upper glume of pedicellate spikelet of tassel
PO:0006389	rachilla of sessile spikelet of tassel
PO:0006390	rachilla of pedicellate spikelet of tassel
PO:0006415	pedicel of ear spikelet
PO:0006416	pedicel of tassel spikelet
PO:0006417	tassel peduncle
PO:0006418	ear peduncle
PO:0006435	rachilla of pedicellate spikelet of ear
PO:0006436	rachilla of sessile spikelet of ear
PO:0006437	lower glume of pedicellate spikelet of ear
PO:0006438	lower glume of sessile spikelet of ear
PO:0006439	upper glume of pedicellate spikelet of ear
PO:0006440	upper glume of sessile spikelet of ear
PO:0006501	leaf abscission zone
PO:0006502	flower abscission zone
PO:0006503	fruit abscission zone
PO:0006504	leaf trichome
PO:0006505	central spike of ear inflorescence
PO:0007001	early whole plant fruit ripening stage
PO:0007002	IE.03 3/4 of inflorescence emerged from flag leaf sheath stage
PO:0007003	IL.03 full inflorescence length reached stage
PO:0007004	3 rapid growth stage
PO:0007005	IL.02 1/2 inflorescence length reached stage
PO:0007006	IL.00 inflorescence just visible stage
PO:0007007	whole plant fruit formation stage 50 to 70%
PO:0007008	IE.02 1/2 of inflorescence emerged from flag leaf sheath stage
PO:0007009	whole plant fruit formation stage 10 to 30%
PO:0007010	whole plant fruit ripening stage
PO:0007013	BO.03 late boot stage
PO:0007014	booting stage
PO:0007015	radicle emergence stage
PO:0007016	whole plant flowering stage
PO:0007017	sporophyte senescent stage
PO:0007018	BO.01 early boot stage
PO:0007019	BO.05 flag leaf sheath opened stage
PO:0007022	seed imbibition stage
PO:0007023	IE.04 inflorescence fully emerged from flag leaf sheath stage
PO:0007024	FL.04 end of flowering stage
PO:0007025	IE.00 inflorescence tip just visible above flag leaf sheath stage
PO:0007026	FL.00 first flower(s) open stage
PO:0007027	whole plant fruit formation stage 70% to final size
PO:0007028	BO.04 flag leaf sheath opening stage
PO:0007029	whole plant fruit formation stage 30 to 50%
PO:0007030	seedling shoot emergence stage
PO:0007031	mid whole plant fruit ripening stage
PO:0007032	whole plant fruit formation stage up to 10%
PO:0007033	whole plant development stage
PO:0007034	FL.01 1/4 of flowers open stage
PO:0007035	7-8 fruit formation and maturation
PO:0007036	beginning of whole plant fruit ripening stage
PO:0007037	inflorescence bifurcation stage
PO:0007038	whole plant fruit ripening complete stage
PO:0007039	leaf trichome development stage
PO:0007041	inflorescence emergence stage
PO:0007042	whole plant fruit formation stage
PO:0007043	hypocotyl emergence stage
PO:0007044	BO.02 mid boot stage
PO:0007045	coleoptile emergence stage
PO:0007046	IL.01 1/4 inflorescence length reached stage
PO:0007047	whole plant inflorescence detectable stage
PO:0007048	IE.01 1/4 of inflorescence emerged from flag leaf sheath stage
PO:0007049	cotyledon emergence stage
PO:0007050	late whole plant fruit ripening stage
PO:0007051	BO.00 booting begins stage
PO:0007052	FL.03 3/4 of flowers open stage
PO:0007053	FL.02 1/2 of flowers open stage
PO:0007054	epicotyl emergence stage
PO:0007056	1 pattern formation stage
PO:0007057	0 seed germination stage
PO:0007058	2 endoreduplication stage
PO:0007059	3 branch formation stage
PO:0007060	obsolete growth and development terms
PO:0007061	2.00 main shoot only
PO:0007062	SE.06 six nodes or internodes visible stage
PO:0007063	LP.07 seven leaves visible stage
PO:0007064	LP.12 twelve leaves visible stage
PO:0007065	LP.05 five leaves visible stage
PO:0007066	SE.09 nine nodes or internodes visible stage
PO:0007067	LP.17 seventeen leaves visible stage
PO:0007068	mid rosette growth stage
PO:0007070	SE.08 eight nodes or internodes visible stage
PO:0007071	2.02 main shoot and axillary shoots visible at two nodes stage
PO:0007072	LP.18 eighteen leaves visible stage
PO:0007073	2 formation of axillary shoot stage
PO:0007074	SE.15 fifteen nodes or internodes visible stage
PO:0007075	5.02 20% of inflorescence emerged.
PO:0007076	late rosette growth stage
PO:0007077	2.08 main shoot and axillary shoots visible at eight nodes stage
PO:0007078	rosette growth complete stage
PO:0007079	SE.00 stem elongation begins stage
PO:0007080	2.03 main shoot and axillary shoots visible at three nodes stage
PO:0007081	early rosette growth stage
PO:0007082	LP.20 twenty or more leaves whorls visible stage
PO:0007083	LP.13 thirteen leaves visible stage
PO:0007084	SE.10 ten nodes or internodes visible stage
PO:0007085	LP.14 fourteen leaves visible stage
PO:0007086	SE.05 five nodes or internodes visible stage
PO:0007087	2.01 main shoot and axillary shoots visible at one node stage
PO:0007088	2.04 main shoot and axillary shoots visible at four nodes stage
PO:0007089	stem elongation stage
PO:0007090	SE.13 thirteen nodes or internodes visible stage
PO:0007091	SE.01 one node or internode visible stage
PO:0007092	SE.04 four nodes or internodes visible stage
PO:0007093	2.05 main shoot and axillary shoots visible at five nodes stage
PO:0007094	LP.01 one leaf visible stage
PO:0007095	LP.08 eight leaves visible stage
PO:0007096	SE.03 three nodes or internodes visible stage
PO:0007097	SE.14 fourteen nodes or internodes visible stage
PO:0007098	LP.02 two leaves visible stage
PO:0007099	SE.97 flag leaf visible stage
PO:0007100	SE.16 sixteen or more nodes or internodes visible stage
PO:0007101	LP.09 nine leaves visible stage
PO:0007102	5.04 40% of inflorescence emerged
PO:0007103	LP.10 ten leaves visible stage
PO:0007104	LP.15 fifteen leaves visible stage
PO:0007105	5.06 60% of inflorescence emerged
PO:0007106	LP.03 three leaves visible stage
PO:0007107	5.08 80% of inflorescence emerged
PO:0007108	SE.07 seven nodes or internodes visible stage
PO:0007109	SE.99 maximum stem length reached stage
PO:0007110	2.09 main shoot and axillary shoots visible at nine or more nodes stage
PO:0007111	SE.12 twelve nodes or internodes visible stage
PO:0007112	1 main shoot growth stage
PO:0007113	rosette growth stage
PO:0007114	SE.11 eleven nodes or internodes visible stage
PO:0007115	LP.04 four leaves visible stage
PO:0007116	LP.11 eleven leaves visible stage
PO:0007117	SE.02 two nodes or internodes visible stage
PO:0007118	2.06 main shoot and axillary shoots visible at six nodes stage
PO:0007119	LP.16 sixteen leaves visible stage
PO:0007120	LP.19 nineteen leaves visible stage
PO:0007121	6.01 10% of flowers open
PO:0007122	2.07 main shoot and axillary shoots visible at seven nodes stage
PO:0007123	LP.06 six leaves visible stage
PO:0007124	6.03 30% of flowers open
PO:0007125	6.04 40% of flowers open
PO:0007126	7.02 fruit size 20%
PO:0007127	7.04 fruit size 40%
PO:0007128	7.06 fruit size 60%
PO:0007129	7.08 fruit size 80%
PO:0007130	sporophyte reproductive stage
PO:0007131	seedling development stage
PO:0007132	sporophyte dormant stage
PO:0007133	leaf production stage
PO:0007134	sporophyte vegetative stage
PO:0007135	4 growth directionality stage
PO:0007501	root cap formation stage
PO:0007503	A2.1 root intials differntiation of primary roots
PO:0007504	crown root primordium formation stage
PO:0007505	1 root primordium formation stage
PO:0007506	primary root primordium formation stage
PO:0007509	root vascular cylinder differentiation stage
PO:0007510	root emergence stage
PO:0007511	lateral root primordium formation stage
PO:0007512	A2 root initials differentiation stage
PO:0007513	root cortex differentiation stage
PO:0007514	B3 crown root meristem formation
PO:0007516	root epidermal differentiation stage
PO:0007517	lateral root emergence stage
PO:0007518	crown root emergence stage
PO:0007519	5 root hair formation stage
PO:0007520	root development stage
PO:0007521	C3.1 metaxylem differentiation of root.
PO:0007523	establishment of initial cells
PO:0007524	B1 primary root meristem formation
PO:0007525	3 establishment of tissue systems stage
PO:0007526	F2 root hair elongation
PO:0007527	2 root meristem formation stage
PO:0007528	A2.2 root initials differentiation of lateral roots
PO:0007529	E emerged root elongation
PO:0007530	A2.3 founder cell derivatives of lateral root
PO:0007531	F1 root hair initiation
PO:0007532	obsolete plant growth and development terms
PO:0007533	C3.3 maturation of protoxylem elements in root.
PO:0007534	A2.4 root initials differentiation of crown roots
PO:0007535	A1 root initials formation stage
PO:0007536	root primordium visible
PO:0007537	C3.2 maturation of phloem elements in root.
PO:0007539	B2 lateral root meristem formation
PO:0007600	floral organ differentiation stage
PO:0007601	floral organ meristem development stage
PO:0007602	floral organ primordium development stage
PO:0007603	calyx development stage
PO:0007604	corolla development stage
PO:0007605	androecium development stage
PO:0007606	gynoecium development stage
PO:0007607	sepal primordium visible stage
PO:0007608	petal primordium visible stage
PO:0007609	sepals 50% of final size
PO:0007610	sepals 100% of final size
PO:0007611	petal differentiation and expansion stage
PO:0007612	fully expanded petal stage
PO:0007613	stamen primordium visible stage
PO:0007615	flower development stage
PO:0007616	flowering stage
PO:0007618	carpel primordium visible stage
PO:0007619	ovule development stage
PO:0007620	ovule primordium visible stage
PO:0007621	megagametophyte development stage
PO:0007622	integument initiation stage
PO:0007623	A megaspore mother cell enlarges stage
PO:0007624	B meiosis of megaspore mother cell stage
PO:0007625	C tetrad of megaspores stage
PO:0007626	D megaspore degeneration stage
PO:0007627	E two nucleate megagametophyte stage
PO:0007628	F four nucleate megagametophyte stage
PO:0007629	G eight nucleate megagametophyte stage
PO:0007631	plant embryo stage
PO:0007632	seed maturation stage
PO:0007633	endosperm development stage
PO:0008001	fruit distal end
PO:0008002	fruit proximal end
PO:0008003	fruit vascular system
PO:0008005	fruit nucellus
PO:0008006	nucellar epidermis
PO:0008007	nucellar projection
PO:0008008	modified aleurone
PO:0008009	abaxial nucellar projection
PO:0008010	adaxial nucellar projection
PO:0008011	embryo vascular system
PO:0008012	stigma vascular system
PO:0008013	anther vascular system
PO:0008014	filament vascular system
PO:0008015	hypocotyl vascular system
PO:0008016	vegetative shoot apical meristem
PO:0008017	leaf sheath pulvinus
PO:0008018	transition vascular leaf
PO:0008019	leaf lamina base
PO:0008020	central zone of the leaf lamina
PO:0008021	tertiary leaf vein
PO:0008022	quaternary leaf vein
PO:0008023	higher order leaf vein
PO:0008024	petiole proximal end
PO:0008025	central zone of the petiole
PO:0008026	petiole distal end
PO:0008027	petiole adaxial epidermis
PO:0008028	reproductive shoot apical meristem
PO:0008029	petiole abaxial epidermis
PO:0008030	trichome cell
PO:0008031	trichome branch
PO:0025163	multicellular trichome branch cell
PO:0008032	stomatal pore
PO:0008034	leaf whorl
PO:0025022	collective leaf structure
PO:0008035	plerome
PO:0008036	periblem
PO:0008037	seedling
PO:0008038	adventitious root primordium
PO:0025479	basal root primordium
PO:0025480	shoot-borne root primordium
PO:0008039	stem base
PO:0008040	lodicule primordium
PO:0008041	stem internode elongation zone
