TraitId;TraitName;TraitValues;TraitProperties;OtherProperties;pmcId
25;Rcm5.0, Rcm7.1, Rcm9.0 (Q);{};{"Disease":"Bacterial canker","Resistance source":"L. peruvianum","References":"[314]","Chromosomal location":"5,7,9","Mapping population":"F2","Pathogen":"Calvibacter michiganensis ssp. michiganensis"};{};PMC2267253
26;Rcm2.0, Rcm5.1 (Q);{};{"Disease":"","Resistance source":"L. hirsutum","References":"[287, 315]","Chromosomal location":"2,5","Mapping population":"BC2S5","Pathogen":"Calvibacter michiganensis ssp. michiganensis"};{};PMC2267253
27;Pto;{};{"Disease":"\t\t\t\t\t\t\t\t\tBacterial speck","Resistance source":"L. pimpinellifolium","References":"[57, 316]","Chromosomal location":"5","Mapping population":"NIL F2","Pathogen":"Pseudomonas syringae pv. Tomato (Pst)"};{};PMC2267253
28;Required for resistance to Pst;{};{"Disease":"Prf","Resistance source":"NIL F2","Chromosomal location":"[317]","Mapping population":"5","Pathogen":"L. pimpinellifolium"};{};PMC2267253
29;Rx-1, Rx-2, Rx-3, Rx-4 (Q) Bs4, Xv4;{};{"Disease":"Bacterial spot","Resistance source":"L. esculentum L. pennellii","References":"[68, 69, 318, 319]","Chromosomal location":"1,3,4,5","Mapping population":"BC1, F2, BC3","Pathogen":"Xanthomonas euvesicatoria, X. vesicatora, X. perorans, X. gardneri"};{};PMC2267253
30;Rrs 3.0–12.0 (Q);{};{"Disease":"Bacterial wilt","Resistance source":"L. pimpinellifolium L. peruvianum","References":"[320\u2013324]","Chromosomal location":"3,4,6,7,10","Mapping population":"F2, F3","Pathogen":"Ralstonia solanacearum"};{};PMC2267253
31;Blackmold (Q);{};{"Disease":"Blackmold","Resistance source":"L. cheesmanii","References":"[288]","Chromosomal location":"2,3,9,12","Mapping population":"","Pathogen":"Alternaria alternata"};{};PMC2267253
32;Py-1;{};{"Disease":"Corky root rot","Resistance source":"L. peruvianum","References":"[325]","Chromosomal location":"3","Mapping population":"NIL F2","Pathogen":"Pyrenochaeta lycopersici"};{};PMC2267253
33;Cmr;{};{"Disease":"Cucumber mosaic virus","Resistance source":"L. chilense","References":"[326]","Chromosomal location":"12","Mapping population":"BC1-inbred","Pathogen":"CMV"};{};PMC2267253
34;11 (Q);{};{"Disease":"\t\t\t\t\t\t\t\t\tEarly blight","Resistance source":"L. hirsutum","References":"[242]","Chromosomal location":"1,2,5,8,9,10,11,12","Mapping population":"BC1","Pathogen":"Alternaria solani"};{};PMC2267253
35;Alternaria solani;{};{"Disease":"13 (Q)","Resistance source":"BC1S1","Chromosomal location":"[242]","Mapping population":"1,2,3,5,8,9,10,11,12","Pathogen":"L. hirsutum"};{};PMC2267253
36;Alternaria solani;{};{"Disease":"7 (Q)","Resistance source":"BC1","Chromosomal location":"[243]","Mapping population":"1,2,3,5,8,9,10,11,12","Pathogen":"L. hirsutum"};{};PMC2267253
37;Alternaria solani;{};{"Disease":"7 (Q)","Resistance source":"RILs","Chromosomal location":"\t\t\t\t\t\t\t\t\tFoolad et al. (unpubl.)\t\t\t\t\t\t\t\t","Mapping population":"1,3,4,5,6,9,11","Pathogen":"L. pimpinellifolium"};{};PMC2267253
38;Frl;{};{"Disease":"Fusarium crown and root rot","Resistance source":"L. peruvianum","References":"[327]","Chromosomal location":"9","Mapping population":"F2","Pathogen":"Fusarium oxysporum f. sp. radidicis-lycopersici"};{};PMC2267253
39;I, I1, I2, I2C, I3;{};{"Disease":"Fusarium wilt","Resistance source":"L. pimpinellifolium L. pennellii","References":"[328\u2013336]","Chromosomal location":"7,8,11","Mapping population":"Different populations","Pathogen":"Fusarium oxysporum f. sp. lycopersici"};{};PMC2267253
40;Sm;{};{"Disease":"Gray leaf spot","Resistance source":"L. pimpinellifolium","References":"[337]","Chromosomal location":"11","Mapping population":"F2","Pathogen":"Stemphylium spp."};{};PMC2267253
41;Ph-1, Ph-2, Ph-3;{};{"Disease":"\t\t\t\t\t\t\t\t\tLate blight","Resistance source":"L. pimpinellifolium","References":"[338\u2013340]","Chromosomal location":"7,9,10","Mapping population":"","Pathogen":"Phytophthora infestans"};{};PMC2267253
42;Phytophthora infestans;{};{"Disease":"lb1-lb12 (Q)","Resistance source":"","Chromosomal location":"[341\u2013343]","Mapping population":"All 12 Chromosomes","Pathogen":"L. hirsutum L. pimpinellifolium"};{};PMC2267253
43;Cf-1, Cf-2, Cf-4, Cf-5, Cf-9, Cf-ECP2;{};{"Disease":"Leaf mould","Resistance source":"L. hirsutum L. pimpinellifolium","References":"[218, 344\u2013347]","Chromosomal location":"1,6","Mapping population":"F2, NIL F2, BC1","Pathogen":"Cladosporium fulvum"};{};PMC2267253
44;Hero;{};{"Disease":"Nematode (potato cyst)","Resistance source":"L. pimpinellifolium","References":"[348]","Chromosomal location":"4","Mapping population":"NIL F2","Pathogen":"Globodera restochiensis"};{};PMC2267253
45;Mi, Mi-1, Mi-2, Mi-3, Mi-9;{};{"Disease":"Nematode (root knot)","Resistance source":"L. peruvianum","References":"[312, 349\u2013355]","Chromosomal location":"6,12","Mapping population":"F2, F3, NIL F2, BC1, BC2","Pathogen":"Meloidogyne spp."};{};PMC2267253
46;pot-1;{};{"Disease":"Potyviruses","Resistance source":"L. hirsutum","References":"[356]","Chromosomal location":"3","Mapping population":"ILs","Pathogen":"Potyviruses"};{};PMC2267253
47;Lv;{};{"Disease":"\t\t\t\t\t\t\t\t\tPowdery mildew","Resistance source":"L. chilense","References":"[357]","Chromosomal location":"12","Mapping population":"F2","Pathogen":"Leveillula taurica"};{};PMC2267253
48;Oidium lycopersicum;{};{"Disease":"Ol-1, Ol-2","Resistance source":"F2","Chromosomal location":"[219, 358, 359]","Mapping population":"4,6","Pathogen":"L. esculentum L. hirsutum"};{};PMC2267253
49;Oidium lycopersicum;{};{"Disease":"Ol (Q)-1, Ol (Q)-2, Ol (Q)-3","Resistance source":"F2","Chromosomal location":"[360]","Mapping population":"6,12","Pathogen":"L. parviflorum"};{};PMC2267253
50;Tm-1, Tm-2										(a)									;{};{"Disease":"Tobacco mosaic virus","Resistance source":"L. hirsutum L. peruvianum","References":"[327, 361\u2013364]","Chromosomal location":"2,9","Mapping population":"F2, NILs","Pathogen":"TMV\/ToMV"};{};PMC2267253
51;One Gene;{};{"Disease":"Tomato mottle virus","Resistance source":"L. chilense","References":"[365]","Chromosomal location":"6","Mapping population":"F2","Pathogen":"ToMoV"};{};PMC2267253
52;Sw-5;{};{"Disease":"Tomato spotted wilt virus","Resistance source":"L. peruvianum","References":"[366]","Chromosomal location":"9","Mapping population":"NILs, F2","Pathogen":"TSWV"};{};PMC2267253
53;Ty-1 (Q), two other Q;{};{"Disease":"Tomato yellow leaf curl virus","Resistance source":"L. esculentum L. chilense L. pimpinellifolium L. hirsutum","References":"[289, 367, 368]","Chromosomal location":"6,11","Mapping population":"BILs, F2, F3, F4","Pathogen":"TYLCV"};{};PMC2267253
54;TYLCV;{};{"Disease":"Ty-2","Resistance source":"F6RILs","Chromosomal location":"[369]","Mapping population":"11","Pathogen":"L. hirsutum"};{};PMC2267253
55;TYLCV;{};{"Disease":"Ty-3","Resistance source":"F2NIls","Chromosomal location":"[370]","Mapping population":"6","Pathogen":"L. chilense"};{};PMC2267253
56;Ve;{};{"Disease":"Verticillium wilt","Resistance source":"L.cheesmanii","References":"[282, 371]","Chromosomal location":"9","Mapping population":"F2, RILs, ILs","Pathogen":"Verticillium dahliae"};{};PMC2267253
57;Ve;{};{"Disease":"L. esculentum","References":"[282, 371]","Chromosomal location":"9","Mapping population":"F2, RILs, ILs","Pathogen":"Verticillium dahliae"};{};PMC2267253
58;Ve;{};{"Disease":"L. pennellii","References":"[282, 371]","Chromosomal location":"9","Mapping population":"F2, RILs, ILs","Pathogen":"Verticillium dahliae"};{};PMC2267253
59;SG;{};{"References":"[378]","Tolerance source":"L. pimpinellifolium","Chromosomal location":"1,4","Mapping population":"BC1S1","Stress":"Cold (low temp.)"};{};PMC2267253
60;L. pimpinellifolium;{};{"Tolerance source":"1,2,3,8,12","Mapping population":"Foolad et al. (unpubl.)","Stress":"5"};{};PMC2267253
61;3;{};{"Tolerance source":"BC1","Chromosomal location":"[275]","Mapping population":"6,7,12","Stress":"VG"};{};PMC2267253
62;10;{};{"Tolerance source":"BC1","Chromosomal location":"[379]","Mapping population":"1,3,5,6,7,9,11,12","Stress":"Sht. wlt., RAU"};{};PMC2267253
63;SG;{};{"References":"[86]","Tolerance source":"L. pimpinellifolium","Chromosomal location":"1,8,9,12","Mapping population":"BC1S1","Stress":"Drought"};{};PMC2267253
64;L. pimpinellifolium;{};{"Tolerance source":"1,2,3,4,8,9,12","Mapping population":"Foolad et al. (unpubl.)","Stress":"8"};{};PMC2267253
65;3;{};{"Tolerance source":"BC1S1, F3","Chromosomal location":"[380]","Mapping population":"Undetermined","Stress":"WUE"};{};PMC2267253
66;SG;{};{"References":"[381]","Tolerance source":"L. pennellii","Chromosomal location":"1,3,7,8,12","Mapping population":"F2","Stress":"Salt"};{};PMC2267253
67;L. pennellii;{};{"Tolerance source":"1,2,3,7,8,9,12","Mapping population":"[382]","Stress":"8"};{};PMC2267253
68;L. pennellii;{};{"Tolerance source":"1,3,5,6,8,9","Mapping population":"[383]","Stress":"8"};{};PMC2267253
69;L. pimpinellifolium;{};{"Tolerance source":"1,2,5,7,9,12","Mapping population":"[95]","Stress":"7"};{};PMC2267253
70;L. pimpinellifolium;{};{"Tolerance source":"1,2,3,4,8,9,12","Mapping population":"Foolad et al. (unpubl.)","Stress":"8"};{};PMC2267253
71;4;{};{"Tolerance source":"BC1S1","Chromosomal location":"[384]","Mapping population":"1,5,9","Stress":"VG"};{};PMC2267253
72;L. pimpinellifolium;{};{"Tolerance source":"1,3,5,6,9","Mapping population":"[385]","Stress":"5"};{};PMC2267253
73;L. pimpinellifolium;{};{"Tolerance source":"1,3,4,5,7,8,9","Mapping population":"\t\t\t\t\t\t\t\t\tFoolad et al. (unpubl.)\t\t\t\t\t\t\t\t","Stress":"7"};{};PMC2267253
74;6;{};{"Tolerance source":"F2","Chromosomal location":"[386].","Mapping population":"1,2,4,5,6,12","Stress":"Ion accumulation"};{};PMC2267253
75;Several;{};{"Tolerance source":"F2","Chromosomal location":"[387]","Mapping population":"Undetermined","Stress":"FN, FW, FY"};{};PMC2267253
76;3;{};{"References":"[378]","Tolerance source":"L. pimpinellifolium","Chromosomal location":"1,4","Mapping population":"BC1S1","Stress":"Cold (low temp.)"};{};PMC2267253
77;RILs;{};{"Tolerance source":"1,2,3,8,12","Mapping population":"Foolad et al. (unpubl.)","Stress":"5"};{};PMC2267253
78;L. hirsutum;{};{"Tolerance source":"BC1","Chromosomal location":"[275]","Mapping population":"6,7,12","Stress":"VG"};{};PMC2267253
79;L. hirsutum;{};{"Tolerance source":"BC1","Chromosomal location":"[379]","Mapping population":"1,3,5,6,7,9,11,12","Stress":"Sht. wlt., RAU"};{};PMC2267253
80;4;{};{"References":"[86]","Tolerance source":"L. pimpinellifolium","Chromosomal location":"1,8,9,12","Mapping population":"BC1S1","Stress":"Drought"};{};PMC2267253
81;RILs;{};{"Tolerance source":"1,2,3,4,8,9,12","Mapping population":"Foolad et al. (unpubl.)","Stress":"8"};{};PMC2267253
82;L. pennellii;{};{"Tolerance source":"BC1S1, F3","Chromosomal location":"[380]","Mapping population":"Undetermined","Stress":"WUE"};{};PMC2267253
83;5;{};{"References":"[381]","Tolerance source":"L. pennellii","Chromosomal location":"1,3,7,8,12","Mapping population":"F2","Stress":"Salt"};{};PMC2267253
84;F2;{};{"Tolerance source":"1,2,3,7,8,9,12","Mapping population":"[382]","Stress":"8"};{};PMC2267253
85;F2;{};{"Tolerance source":"1,3,5,6,8,9","Mapping population":"[383]","Stress":"8"};{};PMC2267253
86;BC1S1;{};{"Tolerance source":"1,2,5,7,9,12","Mapping population":"[95]","Stress":"7"};{};PMC2267253
87;RILs;{};{"Tolerance source":"1,2,3,4,8,9,12","Mapping population":"Foolad et al. (unpubl.)","Stress":"8"};{};PMC2267253
88;L. pimpinellifolium;{};{"Tolerance source":"BC1S1","Chromosomal location":"[384]","Mapping population":"1,5,9","Stress":"VG"};{};PMC2267253
89;BC1;{};{"Tolerance source":"1,3,5,6,9","Mapping population":"[385]","Stress":"5"};{};PMC2267253
90;RILs;{};{"Tolerance source":"1,3,4,5,7,8,9","Mapping population":"\t\t\t\t\t\t\t\t\tFoolad et al. (unpubl.)\t\t\t\t\t\t\t\t","Stress":"7"};{};PMC2267253
91;L. pennellii;{};{"Tolerance source":"F2","Chromosomal location":"[386].","Mapping population":"1,2,4,5,6,12","Stress":"Ion accumulation"};{};PMC2267253
92;L. pimpinellifolium;{};{"Tolerance source":"F2","Chromosomal location":"[387]","Mapping population":"Undetermined","Stress":"FN, FW, FY"};{};PMC2267253
93;Anther-tube width;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"6,7","Mapping population":"BC1"};{};PMC2267253
94;Anther-tube length;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"2,7","Mapping population":"BC1"};{};PMC2267253
95;Carotenoid biosynthesis candidate genes;{};{"Wild species used":"L. pennellii","References":"[294]","Chromosome":"Most chromosomes","Mapping population":"ILs"};{};PMC2267253
96;Corolla indentation;{};{"Wild species used":"L. hirsutum","References":"[235]","Chromosome":"2,8","Mapping population":"BC1"};{};PMC2267253
97;Flwr., exerted stigma;{};{"Wild species used":"L. pennellii","References":"[274]","Chromosome":"1,2,7","Mapping population":"BC1"};{};PMC2267253
98;L. hirsutum;{};{"Wild species used":"BC1","Chromosome":"[235]","Mapping population":"1 Q"};{};PMC2267253
99;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"2 Q"};{};PMC2267253
100;Flwr., petal apex angle;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"11","Mapping population":"F2"};{};PMC2267253
101;Flwr., petal length;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"7,12","Mapping population":"F2"};{};PMC2267253
102;Flwr., petal number;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"11","Mapping population":"F2"};{};PMC2267253
103;Flwr., petal surf. area;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"12","Mapping population":"F2"};{};PMC2267253
104;Flwr., petiolule length;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"7,12","Mapping population":"F2"};{};PMC2267253
105;Flwr., sepal apex angle;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"5,9","Mapping population":"F2"};{};PMC2267253
106;Flwr., sepal D/L ratio;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"5,8,11","Mapping population":"F2"};{};PMC2267253
107;Flwr., sepal number;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"2,11","Mapping population":"F2"};{};PMC2267253
108;Flwr., sepal surf. area;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"3","Mapping population":"F2"};{};PMC2267253
109;Flwr., sepal width;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"3","Mapping population":"F2"};{};PMC2267253
110;Flwr., sepal W/L ratio;{};{"Wild species used":"L. pennellii","References":"[404]","Chromosome":"5,8","Mapping population":"F2"};{};PMC2267253
111;Frt. antioxidant capacity;{};{"Wild species used":"L. pennellii","References":"[300]","Chromosome":"3,6,7,10","Mapping population":"ILs"};{};PMC2267253
112;Frt. ascorbic acid;{};{"Wild species used":"L. pennellii","References":"[300]","Chromosome":"3,5,10,12","Mapping population":"ILs"};{};PMC2267253
113;Frt. citric acid content;{};{"Wild species used":"L. pennellii","References":"[297]","Chromosome":"4,5,8,9,10","Mapping population":"ILs"};{};PMC2267253
114;									Frt. color;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"2,6","Mapping population":"BC1"};{};PMC2267253
115;L. pimpinellifolium;{};{"Wild species used":"BC2, BC3","Chromosome":"[286]","Mapping population":"5 Q"};{};PMC2267253
116;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"8 Q"};{};PMC2267253
117;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"15 Q"};{};PMC2267253
118;L. hirsutum;{};{"Wild species used":"subNILs","Chromosome":"[405]","Mapping population":"1 Q"};{};PMC2267253
119;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"9 Q (visual test)"};{};PMC2267253
120;L. chmielewskii;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
121;L. hirsutum;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
122;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"1 Q"};{};PMC2267253
123;Frt. color (β-carotene);{};{"Wild species used":"L. cheesmannii L. hirsutum L. pennellii","References":"[131, 220, 407\u2013409]","Chromosome":"6","Mapping population":"F2, ILs"};{};PMC2267253
124;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"6 Q"};{};PMC2267253
125;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[220, 299]","Mapping population":"1 G (B)"};{};PMC2267253
126;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[300]","Mapping population":"2 Q"};{};PMC2267253
127;Frt. color (carotene content);{};{"Wild species used":"L. esculentum","References":"[410]","Chromosome":"2,3,8","Mapping population":"RIL"};{};PMC2267253
128;Frt. color (crimson);{};{"Wild species used":"L. esculentum","References":"[131\u2013133, 299, 411]","Chromosome":"6","Mapping population":"F2"};{};PMC2267253
129;									Frt. color (external);{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"1,2,4,5,7,8,11,12","Mapping population":"BC3"};{};PMC2267253
130;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"2 Q"};{};PMC2267253
131;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"2 Q"};{};PMC2267253
132;Frt. color (high pigment 1);{};{"Wild species used":"L. esculentum, L. cheesmannii","References":"[120, 412]","Chromosome":"2","Mapping population":"F2"};{};PMC2267253
133;Frt. Color (high pigment 2);{};{"Wild species used":"L. esculentum, L. pennellii","References":"[121, 413]","Chromosome":"1","Mapping population":"BC1"};{};PMC2267253
134;									Frt. color (internal);{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"1,2,4,5,7,8,9,10,11,12","Mapping population":"BC3"};{};PMC2267253
135;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"3 Q"};{};PMC2267253
136;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"1 Q"};{};PMC2267253
137;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[294]","Mapping population":"16 Q"};{};PMC2267253
138;Frt. color (lycopene);{};{"Wild species used":"L. pimpinellifolium","References":"[414]","Chromosome":"1,4,5,6,7,10,12","Mapping population":"BC1S1"};{};PMC2267253
139;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"5 Q"};{};PMC2267253
140;L. esculentum;{};{"Wild species used":"RIL","Chromosome":"[410]","Mapping population":"2 Q"};{};PMC2267253
141;L. pennellii;{};{"Wild species used":"ILs","Chromosome":"[300]","Mapping population":"2 Q"};{};PMC2267253
142;Frt. color (orange);{};{"Wild species used":"L. pennellii","References":"[239]","Chromosome":"11,12","Mapping population":"BC2\/BC2F1"};{};PMC2267253
143;Frt. color (yellow);{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"12","Mapping population":"BC3"};{};PMC2267253
144;Frt. cracking;{};{"Wild species used":"L. pennellii","References":"[239]","Chromosome":"2,5,8,10,12","Mapping population":"BC2\/BC2F1"};{};PMC2267253
145;Frt. cracking (concentric);{};{"Wild species used":"L. pimpinellifolium","References":"[231]","Chromosome":"2,8,9","Mapping population":"BC2F6"};{};PMC2267253
146;Frt. cracking (radial);{};{"Wild species used":"L. pimpinellifolium","References":"[231]","Chromosome":"2,9","Mapping population":"BC2F6"};{};PMC2267253
147;									Frt. diameter;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"1,2,8","Mapping population":"BC1"};{};PMC2267253
148;L. pimpinellifolium;{};{"Wild species used":"BC1S1","Chromosome":"[414]","Mapping population":"8 Q"};{};PMC2267253
149;L. pimpinellifolium;{};{"Wild species used":"F2","Chromosome":"[40]","Mapping population":"7 Q"};{};PMC2267253
150;L. esculentum;{};{"Wild species used":"RIL","Chromosome":"[410]","Mapping population":"5 Q"};{};PMC2267253
151;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"12 Q"};{};PMC2267253
152;Frt. elasticity;{};{"Wild species used":"L. esculentum","References":"[410]","Chromosome":"1,2,3,4,9","Mapping population":"RIL"};{};PMC2267253
153;Frt. epidermal reticulation;{};{"Wild species used":"L. parviflorum","References":"[234]","Chromosome":"4,6,8,12","Mapping population":"BC3"};{};PMC2267253
154;									Frt. firmness;{};{"Wild species used":"L. pimpinellifolium","References":"[286]","Chromosome":"2,3,4,8","Mapping population":"BC2, BC3"};{};PMC2267253
155;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"6 Q"};{};PMC2267253
156;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"3 Q"};{};PMC2267253
157;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"12"};{};PMC2267253
158;L. esculentum;{};{"Wild species used":"RIL","Chromosome":"[410]","Mapping population":"2 Q"};{};PMC2267253
159;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"2 Q"};{};PMC2267253
160;L. chmielewskii;{};{"Wild species used":"NILs","Chromosome":"[406]","Mapping population":"1 Q"};{};PMC2267253
161;L. pennellii;{};{"Wild species used":"BC2\/BC2F1","Chromosome":"[239]","Mapping population":"3 Q"};{};PMC2267253
162;Frt. fructose content;{};{"Wild species used":"L. pennellii","References":"[297]","Chromosome":"4,5,7,9","Mapping population":"ILs"};{};PMC2267253
163;Frt. fructose:glucose ratio;{};{"Wild species used":"L. hirsutum L. pennellii","References":"[141]","Chromosome":"4","Mapping population":"F2, F3, BC1, ILs"};{};PMC2267253
164;Frt. glucose content;{};{"Wild species used":"L. pennellii","References":"[297]","Chromosome":"4,5,9,12","Mapping population":"ILs"};{};PMC2267253
165;Frt. graywall;{};{"Wild species used":"L. pennellii","References":"[239]","Chromosome":"12","Mapping population":"BC2\/BC2F1"};{};PMC2267253
166;Frt. green gel;{};{"Wild species used":"L. pennellii","References":"[239]","Chromosome":"1,5,8","Mapping population":"BC2\/BC2F1"};{};PMC2267253
167;									Frt. length;{};{"Wild species used":"L. pimpinellifolium","References":"[414]","Chromosome":"1,2,3,6,7,9,12","Mapping population":"BC1S1"};{};PMC2267253
168;L. pimpinellifolium;{};{"Wild species used":"F2","Chromosome":"[40]","Mapping population":"7 Q"};{};PMC2267253
169;L. pimpinellifolium;{};{"Wild species used":"BC2F6","Chromosome":"[231]","Mapping population":"5 Q"};{};PMC2267253
170;									Frt. locule number;{};{"Wild species used":"L. pimpinellifolium","References":"[208]","Chromosome":"1,3","Mapping population":"BC1"};{};PMC2267253
171;L. pimpinellifolium;{};{"Wild species used":"F2","Chromosome":"[40]","Mapping population":"3 Q"};{};PMC2267253
172;L. pimpinellifolium;{};{"Wild species used":"F2","Chromosome":"[404]","Mapping population":"5 Q"};{};PMC2267253
173;Frt. malic acid content;{};{"Wild species used":"L. pennellii","References":"[297]","Chromosome":"3,4,8,12","Mapping population":"ILs"};{};PMC2267253
174;									Frt. maturity;{};{"Wild species used":"L. pimpinellifolium","References":"[286]","Chromosome":"2,3,5,7,8,9","Mapping population":"BC2, BC3"};{};PMC2267253
175;L. peruvianum;{};{"Wild species used":"BC3, BC4","Chromosome":"[240]","Mapping population":"5 Q"};{};PMC2267253
176;L. hirsutum;{};{"Wild species used":"BC2, BC3","Chromosome":"[283]","Mapping population":"6 Q"};{};PMC2267253
177;L. parviflorum;{};{"Wild species used":"BC3","Chromosome":"[234]","Mapping population":"16"};{};PMC2267253
