qtl_id,TraitOriginalName,trait_name,trait_uri,feature_name #as it table,feature_name #ontology_term,feature_uri #ontology term ID,markers,marker_uri,pmcId,doi,tableId
PMC4948827_Table 5_2,qELS_T10_A03_3,qELS_T10_A03_3,,Nearest Marker,marker,http://purl.obolibrary.org/obo/SO_0001645 ,AHGS0132,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 5
PMC4948827_Table 6_1,qLLS_T13_B04_2,qLLS_T13_B04_2,,Nearest Marker,marker,http://purl.obolibrary.org/obo/SO_0001645 ,AHGS0230,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 6
PMC4948827_Table 6_2,qLLS_T11_B06_2,qLLS_T11_B06_2,,Nearest Marker,marker,http://purl.obolibrary.org/obo/SO_0001645 ,AHGS0798,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 6
PMC4948827_Table 6_3,qLLS_T11_B06_2,qLLS_T11_B06_2,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,AHGS0798-PM210,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 6
PMC4948827_Table 6_4,qLLS_T12_B06,qLLS_T12_B06,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ai119G12-PM210,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 6
PMC4321030_TABLE 2_1,30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At1g44790;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_2,Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At1g44790;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 4_0_1,30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At1g44790;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_2,Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At1g44790;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_1_1,30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At1g44790;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_2,Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At1g44790;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC4321030_TABLE 2_3,Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene165_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g14260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_4,FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene165_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g14260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 4_0_3,Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene165_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g14260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_4,FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene165_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g14260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_1_3,Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene165_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g14260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_4,FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g14260-TG400,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene165_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene220_0-i23;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene221_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g14260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC4321030_TABLE 2_5,pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g22570-U340899,http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g22570;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 4_0_5,pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g22570-U340899,http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g22570;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_1_5,pH,pH,http://purl.obolibrary.org/obo/SP_0000170,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g22570-U340899,http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g22570;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC3464107_Table 1_1,09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 1
PMC3464107_Table 1_2,09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 1
PMC3464107_Table 4_0_1,09FD_120_L1_Lf5,09FD_120_L1_Lf5,,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_0
PMC3464107_Table 4_0_2,09FD_120_L1_Lf5,09FD_120_L1_Lf5,,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_0
PMC3464107_Table 4_0_3,09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_0
PMC3464107_Table 4_0_4,09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_0
PMC3464107_Table 4_1_1,09FD_120_L1_Lf5,09FD_120_L1_Lf5,,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_1
PMC3464107_Table 4_1_2,09FD_120_L1_Lf5,09FD_120_L1_Lf5,,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_1
PMC3464107_Table 4_1_3,09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_1
PMC3464107_Table 4_1_4,09FD_120 Loc1 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene280_0-i11;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene289_0-i10;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At2g31970;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g12590;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_1
PMC3852376_Table 2_1,Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At3g17210,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene275_0-i11;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At3g17210;,PMC3852376, 10.1534/g3.113.007195,PMC3852376_Table 2
PMC3852376_Table 2_2,FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At3g17210,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene275_0-i11;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At3g17210;,PMC3852376, 10.1534/g3.113.007195,PMC3852376_Table 2
PMC3852376_Table 4_1,Fruit width,fruit width,http://purl.obolibrary.org/obo/TO_0002627,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At3g17210,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene275_0-i11;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At3g17210;,PMC3852376, 10.1534/g3.113.007195,PMC3852376_Table 4
PMC3852376_Table 4_2,FW,plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At3g17210,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene275_0-i11;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At3g17210;,PMC3852376, 10.1534/g3.113.007195,PMC3852376_Table 4
PMC4321030_TABLE 1_1,Yield,yield,http://purl.obolibrary.org/obo/SP_0000198,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g10050,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene150_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g10050;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 1
PMC4321030_TABLE 2_6,Yield,yield,http://purl.obolibrary.org/obo/SP_0000198,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g10050,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene150_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g10050;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_7,YLD,yield,http://purl.obolibrary.org/obo/SP_0000198,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g10050,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene150_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g10050;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 4_0_6,Yield,yield,http://purl.obolibrary.org/obo/SP_0000198,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g10050,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene150_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g10050;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_7,YLD,yield,http://purl.obolibrary.org/obo/SP_0000198,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g10050,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene150_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g10050;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_1_6,Yield,yield,http://purl.obolibrary.org/obo/SP_0000198,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g10050,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene150_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g10050;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_7,YLD,yield,http://purl.obolibrary.org/obo/SP_0000198,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g10050,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene150_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g10050;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC3464107_Table 1_3,09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 1
PMC3464107_Table 4_0_5,09FD_120_L12_Lf11-1,09FD_120_L12_Lf11-1,,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_0
PMC3464107_Table 4_0_6,09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_0
PMC3464107_Table 4_1_5,09FD_120_L12_Lf11-1,09FD_120_L12_Lf11-1,,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_1
PMC3464107_Table 4_1_6,09FD_120 Loc1&2 LEAF,compound leaf,http://purl.obolibrary.org/obo/PO_0020043,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC3464107, 10.1534/g3.112.003459,PMC3464107_Table 4_1
PMC4321030_TABLE 2_8,Plant width,plant width,http://purl.obolibrary.org/obo/TO_0006062,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_9,W,plant width,http://purl.obolibrary.org/obo/TO_0006062,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 4_0_8,Plant width,plant width,http://purl.obolibrary.org/obo/TO_0006062,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_9,W,plant width,http://purl.obolibrary.org/obo/TO_0006062,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_1_8,Plant width,plant width,http://purl.obolibrary.org/obo/TO_0006062,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC4321030_TABLE 4_1_9,W,plant width,http://purl.obolibrary.org/obo/TO_0006062,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_1
PMC4321030_TABLE 2_10,30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene210_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At5g04590;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_11,Fruit shape,fruit shape,http://purl.obolibrary.org/obo/TO_0002628,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene210_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At5g04590;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_12,Fruit weight,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene210_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At5g04590;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 2_13,FS,fruit shape,http://purl.obolibrary.org/obo/SP_0000038,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene210_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At5g04590;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 2
PMC4321030_TABLE 4_0_10,30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene210_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At5g04590;,PMC4321030,10.1534/g3.114.014654,PMC4321030_TABLE 4_0
