 "entity_uri" , "entity_name" , "syn" ,
 "http://purl.obolibrary.org/obo/TO_0000299" , "leaf lamina color" , "leaf blade color" ,
 "http://purl.obolibrary.org/obo/TO_0000299" , "leaf lamina color" , "LBC" ,
 "http://purl.obolibrary.org/obo/TO_0000299" , "leaf lamina color" , "LFLCL" ,
 "http://purl.obolibrary.org/obo/TO_0000299" , "leaf lamina color" , "leaf color" ,
 "http://purl.obolibrary.org/obo/TO_0000372" , "amylose to amylopectin ratio" , "AMYAMYPCTRO" ,
 "http://purl.obolibrary.org/obo/TO_0000337" , "kneeing ability" , "KnA" ,
 "http://purl.obolibrary.org/obo/TO_0000337" , "kneeing ability" , "KNEAB" ,
 "http://purl.obolibrary.org/obo/TO_0000337" , "kneeing ability" , "tiller angle" ,
 "http://purl.obolibrary.org/obo/TO_0000845" , "collective phyllome structure morphology trait" , "<new synonym>" ,
 "http://purl.obolibrary.org/obo/TO_0000190" , "seed coat color" , "SDCCL" ,
 "http://purl.obolibrary.org/obo/TO_0000190" , "seed coat color" , "bran color" ,
 "http://purl.obolibrary.org/obo/TO_0000190" , "seed coat color" , "SCC" ,
 "http://purl.obolibrary.org/obo/TO_0002716" , "leaf sheath auricle pubescence" , "AUPUBES" ,
 "http://purl.obolibrary.org/obo/TO_0000018" , "boron sensitivity" , "boron deficiency" ,
 "http://purl.obolibrary.org/obo/TO_0000018" , "boron sensitivity" , "BOSN" ,
 "http://purl.obolibrary.org/obo/TO_0000166" , "gibberellic acid sensitivity" , "GB response" ,
 "http://purl.obolibrary.org/obo/TO_0000166" , "gibberellic acid sensitivity" , "GA3 response" ,
 "http://purl.obolibrary.org/obo/TO_0000166" , "gibberellic acid sensitivity" , "GASN" ,
 "http://purl.obolibrary.org/obo/TO_0000166" , "gibberellic acid sensitivity" , "Gibberellin response" ,
 "http://purl.obolibrary.org/obo/TO_0000166" , "gibberellic acid sensitivity" , "gibberellic acid response" ,
 "http://purl.obolibrary.org/obo/TO_0000356" , "brown spot disease resistance" , "BS" ,
 "http://purl.obolibrary.org/obo/TO_0002743" , "grain volume" , "GRVOL" ,
 "http://purl.obolibrary.org/obo/TO_0002743" , "grain volume" , "DHULGRVOL" ,
 "http://purl.obolibrary.org/obo/TO_0000050" , "inflorescence branching" , "panicle branching" ,
 "http://purl.obolibrary.org/obo/TO_0000127" , "rice grassy stunt virus-1 resistance" , "RGSV1" ,
 "http://purl.obolibrary.org/obo/TO_0000127" , "rice grassy stunt virus-1 resistance" , "RGSV1RS" ,
 "http://purl.obolibrary.org/obo/TO_0000611" , "malt-extract percentage" , "malt-extract percent" ,
 "http://purl.obolibrary.org/obo/TO_0000611" , "malt-extract percentage" , "MALTEXTPCENT" ,
 "http://purl.obolibrary.org/obo/TO_0011001" , "leaf lamina color distribution" , "LFLCLDIST" ,
 "http://purl.obolibrary.org/obo/TO_0000689" , "grain tenderness" , "GRTENDER" ,
 "http://purl.obolibrary.org/obo/TO_0000689" , "grain tenderness" , "kernel tenderness" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "sucrose phosphate synthetase" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "uridine diphosphoglucose-fructose phosphate glucosyltransferase" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "UDP-glucose-fructose-phosphate glucosyltransferase" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "sucrose-phosphate synthase activity" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "SPS" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "SPSACT" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "sucrose phosphate-uridine diphosphate glucosyltransferase" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "sucrosephosphate-UDP glucosyltransferase" ,
 "http://purl.obolibrary.org/obo/TO_0000331" , "sucrose phosphate synthase activity trait" , "sucrose 6-phosphate synthase" ,
 "http://purl.obolibrary.org/obo/TO_0000336" , "total amylase activity" , "amylase activity" ,
 "http://purl.obolibrary.org/obo/TO_0000336" , "total amylase activity" , "TAMYASEACT" ,
 "http://purl.obolibrary.org/obo/TO_0000466" , "carbon content" , "CBCN" ,
 "http://purl.obolibrary.org/obo/TO_0000007" , "sulfur sensitivity" , "SFSN" ,
 "http://purl.obolibrary.org/obo/TO_0000007" , "sulfur sensitivity" , "sulfur deficiency" ,
 "http://purl.obolibrary.org/obo/TO_0000892" , "stem size" , "stalk size" ,
 "http://purl.obolibrary.org/obo/TO_0000136" , "relative water content" , "RELWCN" ,
 "http://purl.obolibrary.org/obo/TO_0000136" , "relative water content" , "rec" ,
 "http://purl.obolibrary.org/obo/TO_0000136" , "relative water content" , "leaf relative water content" ,
 "http://purl.obolibrary.org/obo/TO_0000011" , "nitrogen sensitivity" , "nitrogen deficiency" ,
 "http://purl.obolibrary.org/obo/TO_0000011" , "nitrogen sensitivity" , "NISN" ,
 "http://purl.obolibrary.org/obo/TO_0000498" , "female fertility restoration trait" , "FEMRF" ,
 "http://purl.obolibrary.org/obo/TO_0000003" , "alkali soil sensitivity" , "AlkS" ,
 "http://purl.obolibrary.org/obo/TO_0000003" , "alkali soil sensitivity" , "alkali sensitivity" ,
 "http://purl.obolibrary.org/obo/TO_0000522" , "stomatal conductance" , "STOCOND" ,
 "http://purl.obolibrary.org/obo/TO_0000663" , "wheat fusarium head blight resistance" , "Ta_FUSHEADBTRS" ,
 "http://purl.obolibrary.org/obo/TO_0002629" , "fruit morphology trait" , "fruit morphology" ,
 "http://purl.obolibrary.org/obo/TO_0000105" , "dull endosperm" , "glassy endosperm" ,
 "http://purl.obolibrary.org/obo/TO_0000055" , "leaf lamina pubescence" , "LFLPUBES" ,
 "http://purl.obolibrary.org/obo/TO_0000055" , "leaf lamina pubescence" , "leaf blade pubescence" ,
 "http://purl.obolibrary.org/obo/TO_0000055" , "leaf lamina pubescence" , "LBP" ,
 "http://purl.obolibrary.org/obo/TO_0000055" , "leaf lamina pubescence" , "LFLHR" ,
 "http://purl.obolibrary.org/obo/TO_0000096" , "ratooning ability" , "RAAB" ,
 "http://purl.obolibrary.org/obo/TO_0000651" , "flour color" , "FLRCL" ,
 "http://purl.obolibrary.org/obo/TO_0000130" , "far red light sensitivity" , "FRLTSN" ,
 "http://purl.obolibrary.org/obo/TO_0000130" , "far red light sensitivity" , "Pfr light sensitivity" ,
 "http://purl.obolibrary.org/obo/TO_0000496" , "carotenoid content" , "CRTCN" ,
 "http://purl.obolibrary.org/obo/TO_0000426" , "stem internode color" , "CmlC" ,
 "http://purl.obolibrary.org/obo/TO_0000426" , "stem internode color" , "culm internode color" ,
 "http://purl.obolibrary.org/obo/TO_0000426" , "stem internode color" , "INCL" ,
 "http://purl.obolibrary.org/obo/TO_0000241" , "leaf number" , "LFNB" ,
 "http://purl.obolibrary.org/obo/TO_0000511" , "phosphorus uptake" , "PHOUP" ,
 "http://purl.obolibrary.org/obo/TO_0012004" , "quantum yield" , "QY" ,
 "http://purl.obolibrary.org/obo/TO_0000526" , "sodium concentration" , "NACONC" ,
 "http://purl.obolibrary.org/obo/TO_0000374" , "breakdown viscosity" , "BRKVIS" ,
 "http://purl.obolibrary.org/obo/TO_0000718" , "wrinkled seed" , "wrinkled kernel" ,
 "http://purl.obolibrary.org/obo/TO_0000657" , "spikelet morphology trait" , "<new synonym>" ,
 "http://purl.obolibrary.org/obo/TO_0000116" , "root mass density 0-15" , "rmd 0-15" ,
 "http://purl.obolibrary.org/obo/TO_0001025" , "leaf phosphorus content" , "LFPHOCN" ,
 "http://purl.obolibrary.org/obo/TO_0000231" , "endospermless" , "ENDMIN" ,
 "http://purl.obolibrary.org/obo/TO_0000165" , "panicle exsertion" , "Exs" ,
 "http://purl.obolibrary.org/obo/TO_0000165" , "panicle exsertion" , "PNEX" ,
 "http://purl.obolibrary.org/obo/TO_0000421" , "pollen fertility" , "POFRT" ,
 "http://purl.obolibrary.org/obo/TO_0000339" , "stem thickness" , "culm thickness" ,
 "http://purl.obolibrary.org/obo/TO_0000339" , "stem thickness" , "CULMTH" ,
 "http://purl.obolibrary.org/obo/TO_0000339" , "stem thickness" , "culm thickness (sensu Poaceae)" ,
 "http://purl.obolibrary.org/obo/TO_0000339" , "stem thickness" , "STEMTH" ,
 "http://purl.obolibrary.org/obo/TO_0000304" , "seed thickness" , "SDTH" ,
 "http://purl.obolibrary.org/obo/TO_0000001" , "carbon sensitivity" , "CBSN" ,
 "http://purl.obolibrary.org/obo/TO_0000001" , "carbon sensitivity" , "carbon deficiency" ,
 "http://purl.obolibrary.org/obo/TO_0000403" , "leaf-folder resistance" , "LFFRS" ,
 "http://purl.obolibrary.org/obo/TO_0000403" , "leaf-folder resistance" , "LF" ,
 "http://purl.obolibrary.org/obo/TO_0000593" , "polished grain weight" , "PLSGRWT" ,
 "http://purl.obolibrary.org/obo/TO_0000201" , "panicle color" , "PNCL" ,
 "http://purl.obolibrary.org/obo/TO_0000218" , "pollen abortion type" , "abortion pattern" ,
 "http://purl.obolibrary.org/obo/TO_0000218" , "pollen abortion type" , "abortion pattern of male sterile lines" ,
 "http://purl.obolibrary.org/obo/TO_0000492" , "leaf shape" , "LFSHP" ,
 "http://purl.obolibrary.org/obo/TO_0000382" , "1000-seed weight" , "thousand seed weight" ,
 "http://purl.obolibrary.org/obo/TO_0000382" , "1000-seed weight" , "thousand grain weight" ,
 "http://purl.obolibrary.org/obo/TO_0000382" , "1000-seed weight" , "TGRWT" ,
 "http://purl.obolibrary.org/obo/TO_0000382" , "1000-seed weight" , "TSDWT" ,
 "http://purl.obolibrary.org/obo/TO_0000382" , "1000-seed weight" , "1000-grain weight" ,
 "http://purl.obolibrary.org/obo/TO_0000602" , "total fat content" , "lipid content" ,
 "http://purl.obolibrary.org/obo/TO_0000602" , "total fat content" , "FATCN" ,
 "http://purl.obolibrary.org/obo/TO_0000397" , "grain size" , "GRSZ" ,
 "http://purl.obolibrary.org/obo/TO_0000532" , "apiculus hair length" , "APIHLG" ,
 "http://purl.obolibrary.org/obo/TO_0000532" , "apiculus hair length" , "APIHRLG" ,
 "http://purl.obolibrary.org/obo/TO_0000546" , "peduncle top diameter" , "PDTDIA" ,
 "http://purl.obolibrary.org/obo/TO_0000318" , "reducing sugar content" , "REDSUGCN" ,
 "http://purl.obolibrary.org/obo/TO_0000323" , "stem rot disease resistance" , "SR" ,
 "http://purl.obolibrary.org/obo/TO_0000323" , "stem rot disease resistance" , "CULMROTRS" ,
 "http://purl.obolibrary.org/obo/TO_0000936" , "infructescence yield trait" , "seeds per panicle" ,
 "http://purl.obolibrary.org/obo/TO_0000384" , "nematode damage resistance" , "NDRS" ,
 "http://purl.obolibrary.org/obo/TO_0000279" , "root weight" , "TRW" ,
 "http://purl.obolibrary.org/obo/TO_0000279" , "root weight" , "total root weight" ,
 "http://purl.obolibrary.org/obo/TO_0000279" , "root weight" , "RTWT" ,
 "http://purl.obolibrary.org/obo/TO_0000471" , "root penetration index" , "RTPNID" ,
 "http://purl.obolibrary.org/obo/TO_0000140" , "apiculus color" , "APICL" ,
 "http://purl.obolibrary.org/obo/TO_0000140" , "apiculus color" , "ApC" ,
 "http://purl.obolibrary.org/obo/TO_0000320" , "rubisco to chlorophyll ratio" , "RUBISCOCHLRO" ,
 "http://purl.obolibrary.org/obo/TO_0000244" , "coleoptile color" , "COLCL" ,
 "http://purl.obolibrary.org/obo/TO_0000501" , "spikelet weight" , "SPKWT" ,
 "http://purl.obolibrary.org/obo/TO_0000254" , "growth media pH sensitivity" , "soil pH stress" ,
 "http://purl.obolibrary.org/obo/TO_0002635" , "leaf margin morphology trait" , "leaf margin curvature" ,
 "http://purl.obolibrary.org/obo/TO_0000448" , "filled grain percentage" , "FGRPCENT" ,
 "http://purl.obolibrary.org/obo/TO_0000448" , "filled grain percentage" , "Filled grain percent per panicle" ,
 "http://purl.obolibrary.org/obo/TO_0002759" , "grain number" , "kernel number" ,
 "http://purl.obolibrary.org/obo/TO_0002759" , "grain number" , "GRNB" ,
 "http://purl.obolibrary.org/obo/TO_0000330" , "outcrossing potential" , "extent of outcrossing" ,
 "http://purl.obolibrary.org/obo/TO_0000330" , "outcrossing potential" , "extent of outcrossing on male sterile lines" ,
 "http://purl.obolibrary.org/obo/TO_0000512" , "plant survival percentage under submergence" , "PTSPCENTSUB" ,
 "http://purl.obolibrary.org/obo/TO_0000202" , "germination ratio" , "GERMRO" ,
 "http://purl.obolibrary.org/obo/TO_0000707" , "pericarp color" , "grain color" ,
 "http://purl.obolibrary.org/obo/TO_0000707" , "pericarp color" , "dehulled grain color" ,
 "http://purl.obolibrary.org/obo/TO_0000707" , "pericarp color" , "PERICARPCL" ,
 "http://purl.obolibrary.org/obo/TO_0000707" , "pericarp color" , "DHULGRCL" ,
 "http://purl.obolibrary.org/obo/TO_0000707" , "pericarp color" , "bran color" ,
 "http://purl.obolibrary.org/obo/TO_0000616" , "leaf perimeter" , "leaf circumference" ,
 "http://purl.obolibrary.org/obo/TO_0000616" , "leaf perimeter" , "LFCIRCUM" ,
 "http://purl.obolibrary.org/obo/TO_0001028" , "osmotic adjustment break point" , "Break point of osmotic adjustment" ,
 "http://purl.obolibrary.org/obo/TO_0000672" , "bran percentage" , "BRAPCENT" ,
 "http://purl.obolibrary.org/obo/TO_0000672" , "bran percentage" , "rice bran percentage" ,
 "http://purl.obolibrary.org/obo/TO_0000647" , "relative acid phosphatase activity" , "RELACIDPASEACT" ,
 "http://purl.obolibrary.org/obo/TO_0000083" , "penetrated root number" , "number of penetrating roots" ,
 "http://purl.obolibrary.org/obo/TO_0000083" , "penetrated root number" , "PENRTNB" ,
 "http://purl.obolibrary.org/obo/TO_0000083" , "penetrated root number" , "npr" ,
 "http://purl.obolibrary.org/obo/TO_0002738" , "floret number per inflorescence" , "FLNBPPN" ,
 "http://purl.obolibrary.org/obo/TO_0002738" , "floret number per inflorescence" , "florets per inflorescence" ,
 "http://purl.obolibrary.org/obo/TO_0002738" , "floret number per inflorescence" , "floret number per panicle" ,
 "http://purl.obolibrary.org/obo/TO_0002738" , "floret number per inflorescence" , "FLNBPINFLO" ,
 "http://purl.obolibrary.org/obo/TO_0000088" , "rice yellow mottle virus resistance" , "RYMVRS" ,
 "http://purl.obolibrary.org/obo/TO_0000088" , "rice yellow mottle virus resistance" , "RYMV" ,
 "http://purl.obolibrary.org/obo/TO_0000486" , "seed color" , "SDCL" ,
 "http://purl.obolibrary.org/obo/TO_0002724" , "leaf sheath color" , "LFSCL" ,
 "http://purl.obolibrary.org/obo/TO_0000610" , "soluble to total protein ratio" , "Soluble protein to total protein content ratio" ,
 "http://purl.obolibrary.org/obo/TO_0000610" , "soluble to total protein ratio" , "STPROTRO" ,
 "http://purl.obolibrary.org/obo/TO_0000728" , "cell cycle trait" , "cell division cycle" ,
 "http://purl.obolibrary.org/obo/TO_0001021" , "days to inflorescence exsertion" , "days to inflorescence emergence" ,
 "http://purl.obolibrary.org/obo/TO_0000161" , "radiation response trait" , "RADSN" ,
 "http://purl.obolibrary.org/obo/TO_0000161" , "radiation response trait" , "response to radiation" ,
 "http://purl.obolibrary.org/obo/TO_0000161" , "radiation response trait" , "radiation sensitivity" ,
 "http://purl.obolibrary.org/obo/TO_0000238" , "growth media composition sensitivity" , "edaphic" ,
 "http://purl.obolibrary.org/obo/TO_0000634" , "stem node number" , "NDNB" ,
 "http://purl.obolibrary.org/obo/TO_0000317" , "cutworm resistance" , "CUWRRS" ,
 "http://purl.obolibrary.org/obo/TO_0000550" , "rhizome branching angle" , "RHZBRAG" ,
 "http://purl.obolibrary.org/obo/TO_0000550" , "rhizome branching angle" , "rhizome branching degree" ,
 "http://purl.obolibrary.org/obo/TO_0000687" , "kernel row number per ear" , "kernel row number per ear" ,
 "http://purl.obolibrary.org/obo/TO_0000687" , "kernel row number per ear" , "KERROWNB" ,
 "http://purl.obolibrary.org/obo/TO_0000484" , "seed shape" , "SDSHP" ,
 "http://purl.obolibrary.org/obo/TO_0000462" , "gelatinization temperature" , "GELTZTMP" ,
 "http://purl.obolibrary.org/obo/TO_0000122" , "percent root mass density 0-15" , "prmd 0-15" ,
 "http://purl.obolibrary.org/obo/TO_0000292" , "yellow dwarf disease resistance" , "YDRS" ,
 "http://purl.obolibrary.org/obo/TO_0000292" , "yellow dwarf disease resistance" , "YD" ,
 "http://purl.obolibrary.org/obo/TO_0000345" , "seed viability" , "SDVIA" ,
 "http://purl.obolibrary.org/obo/TO_0000365" , "male flowering" , "MFLW" ,
 "http://purl.obolibrary.org/obo/TO_0000365" , "male flowering" , "male flower flowering" ,
 "http://purl.obolibrary.org/obo/TO_0000365" , "male flowering" , "MALEFLW" ,
 "http://purl.obolibrary.org/obo/TO_0000365" , "male flowering" , "male flower anthesis" ,
 "http://purl.obolibrary.org/obo/TO_0002745" , "grain curved length" , "DHULGRCURVLG" ,
 "http://purl.obolibrary.org/obo/TO_0000698" , "starchiness" , "STARCH" ,
 "http://purl.obolibrary.org/obo/TO_0000698" , "starchiness" , "mealiness" ,
 "http://purl.obolibrary.org/obo/TO_0002725" , "life cycle habit" , "LIFECYCHAB" ,
 "http://purl.obolibrary.org/obo/TO_0000175" , "rice bacterial blight disease resistance" , "BBRS" ,
 "http://purl.obolibrary.org/obo/TO_0000175" , "rice bacterial blight disease resistance" , "leaf blight" ,
 "http://purl.obolibrary.org/obo/TO_0000175" , "rice bacterial blight disease resistance" , "BB" ,
 "http://purl.obolibrary.org/obo/TO_0000475" , "adventitious root thickness" , "ADVRTTH" ,
 "http://purl.obolibrary.org/obo/TO_0002741" , "grain surface area" , "hulled-grain surface area" ,
 "http://purl.obolibrary.org/obo/TO_0002741" , "grain surface area" , "GRSURFAR" ,
 "http://purl.obolibrary.org/obo/TO_0002741" , "grain surface area" , "dehulled-grain surface area" ,
 "http://purl.obolibrary.org/obo/TO_0002741" , "grain surface area" , "DHULGRSURFAR" ,
 "http://purl.obolibrary.org/obo/TO_0002741" , "grain surface area" , "kernel surface area" ,
 "http://purl.obolibrary.org/obo/TO_0000010" , "magnesium sensitivity" , "magnesium deficiency" ,
 "http://purl.obolibrary.org/obo/TO_0000010" , "magnesium sensitivity" , "MGSN" ,
 "http://purl.obolibrary.org/obo/TO_0000129" , "false smut disease resistance" , "FSRS" ,
 "http://purl.obolibrary.org/obo/TO_0000129" , "false smut disease resistance" , "FSm" ,
 "http://purl.obolibrary.org/obo/TO_0002627" , "fruit width" , "FRWD" ,
 "http://purl.obolibrary.org/obo/TO_0002627" , "fruit width" , "plump grain" ,
 "http://purl.obolibrary.org/obo/TO_0002627" , "fruit width" , "kernel plumpness" ,
 "http://purl.obolibrary.org/obo/TO_0002627" , "fruit width" , "percentage of plump kernels" ,
 "http://purl.obolibrary.org/obo/TO_0002641" , "acid detergent fiber" , "ADF" ,
 "http://purl.obolibrary.org/obo/TO_0002641" , "acid detergent fiber" , "ACIDDETFIBR" ,
 "http://purl.obolibrary.org/obo/TO_0002663" , "leaf necrosis tolerance" , "necrosis tolerance" ,
