qtlId,traitName,traitUri,ChromosomeNumber,markers_associated,markerUri,gene_associated, geneUri,snp_associated,snpUri,pmcId,tableId,rowNumber 
PMC4266912_Table 3_4,log (β-C),,,,null,Solyc01g087600.2.1; ,,solcap_snp_sl_17063; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_17063,PMC4266912,PMC4266912_Table 3,4
PMC4266912_Table 3_7,log (t-LYC),,,,null,Solyc03g031480.2.1; ,,solcap_snp_sl_27094; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_27094,PMC4266912,PMC4266912_Table 3,7
PMC4266912_Table 3_10,log (PHE),,,,null,Solyc08g082350.2.1; ,,solcap_snp_sl_100367; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_100367,PMC4266912,PMC4266912_Table 3,10
PMC4266912_Table 3_12,log (FW),http://purl.obolibrary.org/obo/TO_0000442,,,null,Solyc02g078790.2.1; ,,solcap_snp_sl_23884; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_23884,PMC4266912,PMC4266912_Table 3,12
PMC4266912_Table 3_18,log (pH),http://purl.obolibrary.org/obo/SP_0000170,,,null,Solyc11g017070.1.1; ,,solcap_snp_sl_19556; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_19556,PMC4266912,PMC4266912_Table 3,18
PMC4266912_Table 3_19,log (TA),http://purl.obolibrary.org/obo/SP_0000345,,,null,Solyc01g107550.2.1; ,,solcap_snp_sl_54697; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_54697,PMC4266912,PMC4266912_Table 3,19
PMC4321030_TABLE 1_0,Late blight,,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 1,0
PMC4321030_TABLE 1_2,Maturity,,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 1,2
PMC4321030_TABLE 1_4,Yield,http://purl.obolibrary.org/obo/SP_0000198,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 1,4
PMC4321030_TABLE 1_5,Fruit size/shape,http://purl.obolibrary.org/obo/PO_0009001,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 1,5
PMC4321030_TABLE 1_10,Fruit quality,http://purl.obolibrary.org/obo/TO_0002728,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 1,10
PMC4321030_TABLE 1_12,Plant architecture,,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 1,12
PMC4321030_TABLE 2_0,Leaf AUDPC,http://purl.obolibrary.org/obo/PO_0020043,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,0
PMC4321030_TABLE 2_2,Stem AUDPC,http://purl.obolibrary.org/obo/PO_0009047,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,2
PMC4321030_TABLE 2_5,Days to 1st ripe fruit,,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,5
PMC4321030_TABLE 2_8,Days to 50% ripe fruit,http://purl.obolibrary.org/obo/PO_0009001,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,8
PMC4321030_TABLE 2_12,Yield,http://purl.obolibrary.org/obo/SP_0000198,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,12
PMC4321030_TABLE 2_15,Fruit height,http://purl.obolibrary.org/obo/PO_0009001,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,15
PMC4321030_TABLE 2_18,Fruit width,http://purl.obolibrary.org/obo/TO_0002627,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,18
PMC4321030_TABLE 2_21,Fruit shape,http://purl.obolibrary.org/obo/TO_0002628,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,21
PMC4321030_TABLE 2_24,Fruit size,http://purl.obolibrary.org/obo/TO_0002625,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,24
PMC4321030_TABLE 2_26,Fruit weight,http://purl.obolibrary.org/obo/TO_0002746,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,26
PMC4321030_TABLE 2_28,Seed weight,http://purl.obolibrary.org/obo/TO_0000181,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,28
PMC4321030_TABLE 2_29,oBrix,,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,29
PMC4321030_TABLE 2_31,pH,http://purl.obolibrary.org/obo/SP_0000170,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,31
PMC4321030_TABLE 2_33,Canopy density,http://purl.obolibrary.org/obo/SP_0000236,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,33
PMC4321030_TABLE 2_38,Plant habit,http://purl.obolibrary.org/obo/SP_0000003,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,38
PMC4321030_TABLE 2_40,Plant height,http://purl.obolibrary.org/obo/TO_0000207,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,40
PMC4321030_TABLE 2_45,Plant width,http://purl.obolibrary.org/obo/TO_0006062,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,45
PMC4321030_TABLE 2_50,Plant shape,,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,50
PMC4321030_TABLE 2_54,Plant size,http://purl.obolibrary.org/obo/SP_0000002,,,null,,null,,null,PMC4321030,PMC4321030_TABLE 2,54
PMC4321030_TABLE 4_0_0,Days to 1st ripe fruit,,,J1; ,,,null,,null,PMC4321030,PMC4321030_TABLE 4_0,0
PMC4321030_TABLE 4_0_1,Days to 50% ripe fruit,http://purl.obolibrary.org/obo/PO_0009001,,TG194; ,,,null,,null,PMC4321030,PMC4321030_TABLE 4_0,1
PMC4321030_TABLE 4_0_6,Yield,http://purl.obolibrary.org/obo/SP_0000198,,At4g10050; ,,,null,,null,PMC4321030,PMC4321030_TABLE 4_0,6
PMC4321030_TABLE 4_0_7,Fruit height,http://purl.obolibrary.org/obo/PO_0009001,,TG194; ,,,null,,null,PMC4321030,PMC4321030_TABLE 4_0,7
PMC4321030_TABLE 4_0_12,Fruit width,http://purl.obolibrary.org/obo/TO_0002627,,TG194; ,,,null,,null,PMC4321030,PMC4321030_TABLE 4_0,12
PMC4321030_TABLE 4_0_13,Fruit shape,http://purl.obolibrary.org/obo/TO_0002628,,At5g04590; ,,,null,,null,PMC4321030,PMC4321030_TABLE 4_0,13
PMC4321030_TABLE 4_0_15,Fruit size,http://purl.obolibrary.org/obo/TO_0002625,,T0408; ,,,null,,null,PMC4321030,PMC4321030_TABLE 4_0,15
PMC4321030_TABLE 4_0_19,Fruit weight,http://purl.obolibrary.org/obo/TO_0002746,,At5g04590; ,,,null,,null,PMC4321030,PMC4321030_TABLE 4_0,19
PMC4321030_TABLE 4_0_20,Seed weight,http://purl.obolibrary.org/obo/TO_0000
